"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","Eucl_distance","NS_shift","EW_shift","shift_direction","n_routes_hist","n_routes_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","rS_NA","rE_NA","rU_NA","rS_A","rE_A","rU_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Pipilo erythrophthalmus",1105049.60030478,284695.838705944,1014897.48775283,256266.993753176,94528.3165137761,-28428.8449527682,-90152.1125519535,-99.4735400404629,309,322,0.902387199667117,0.999000999000999,0.952047952047952,0.952047952047952,1,0.997002997002997,0.946053946053946,0.946053946053946,1,0.001998001998002,0.032967032967033,0.032967032967033,0.000999000999000999,0.001998001998002,0.043956043956044,0.043956043956044,0.001998001998002,0.980745637879859,0.019254362120141,0.00292183194517789,0.980745637879859,0.019254362120141,0.00292183194517789,0.977935080626873,0.0028657351554092,0.0191991842177183
"Pipilo maculatus",-1731548.38678388,636458.654266831,-1637972.31453395,648442.655561213,94340.3285172743,11984.0012943817,93576.0722499266,70.247059205567,50,61,0.912255085501498,1,0.982017982017982,0.982017982017982,1,1,0.975024975024975,0.975024975024975,1,0.000999000999000999,0.027972027972028,0.027972027972028,0.000999000999000999,0.000999000999000999,0.020979020979021,0.020979020979021,0.000999000999000999,0.96233573250917,0.03766426749083,0.00213617957484277,0.96233573250917,0.03766426749083,0.000861100462875487,0.960357278652398,0.00205588734776932,0.0375868339998326
"Piranga ludoviciana",-1822058.66527829,734589.323802594,-1811347.45474567,719286.956596238,18678.6635815368,-15302.3672063565,10711.2105326175,131.103731960542,49,49,0.891217989429906,1,0.962037962037962,0.962037962037962,1,0.999000999000999,0.965034965034965,0.965034965034965,1,0.002997002997003,0.042957042957043,0.042957042957043,0.000999000999000999,0.000999000999000999,0.050949050949051,0.050949050949051,0.000999000999000999,0.960403459639854,0.0395965403601461,0.0154238234139172,0.960403459639854,0.0395965403601461,0.0149012541263718,0.946168219632854,0.0148221456973285,0.0390096346698179
"Piranga olivacea",1167607.25440612,476335.258597919,1161901.1936928,450780.298734027,26184.2529492291,-25554.9598638923,-5706.06071331748,-158.622342335125,249,259,0.94085797943987,1,0.85014985014985,0.85014985014985,1,1,0.876123876123876,0.876123876123876,1,0.000999000999000999,0.152847152847153,0.152847152847153,0.000999000999000999,0.002997002997003,0.145854145854146,0.145854145854146,0.000999000999000999,0.993720932924191,0.00627906707580919,0.0100577577508897,0.993720932924191,0.00627906707580919,0.0100080310615889,0.983788458031451,0.00999523564781044,0.00621630632073807
"Piranga rubra",745255.621358469,-186845.061915377,639852.885543642,-183172.931238068,105466.683179862,3672.1306773088,-105402.735814827,-83.1282468631899,160,170,0.897221304224146,0.994005994005994,0.813186813186813,0.813186813186813,1,0.998001998001998,0.822177822177822,0.822177822177822,1,0.003996003996004,0.172827172827173,0.172827172827173,0.000999000999000999,0.003996003996004,0.17982017982018,0.17982017982018,0.000999000999000999,0.985810664994325,0.0141893350056752,0.00234464147537666,0.985810664994325,0.0141893350056752,0.00220580993442433,0.98353201345382,0.00231144947140343,0.0141565370747768
"Podilymbus podiceps",-355475.628120664,746133.374206766,-496535.659926988,724995.722090424,142634.963841944,-21137.6521163419,-141060.031806324,-101.043988114092,48,36,0.796834346288925,0.998001998001998,0.958041958041958,0.958041958041958,1,0.996003996003996,1,1,1,0.003996003996004,0.036963036963037,0.036963036963037,0.000999000999000999,0.00699300699300699,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.952660319910615,0.0473396800893853,0.0711183229428419,0.983797847324992,0.0162021526750081,0.0663381234181665,0.887898018448255,0.0679804754211196,0.0441215061306252
"Poecile atricapillus",698617.456386223,669643.79432505,711017.950703769,688651.721693385,22695.2321459682,19007.9273683353,12400.4943175456,38.6112950538154,245,233,0.911302846551933,1,0.942057942057942,0.942057942057942,1,1,0.968031968031968,0.968031968031968,1,0.000999000999000999,0.040959040959041,0.040959040959041,0.000999000999000999,0.001998001998002,0.037962037962038,0.037962037962038,0.001998001998002,0.984807313011686,0.0151926869883137,0.00133192543855092,0.985365298024752,0.0146347019752476,0.00133192543855092,0.983515525053669,0.00131171645554405,0.0151727584907872
"Poecile carolinensis",872257.150715164,-107518.20705292,854531.127295574,-96497.0758562417,20872.8828657237,11021.1311966779,-17726.0234195895,-52.7362879821094,188,197,0.960421732229017,0.998001998001998,0.984015984015984,0.984015984015984,1,1,0.991008991008991,0.991008991008991,1,0.000999000999000999,0.018981018981019,0.018981018981019,0.000999000999000999,0.002997002997003,0.016983016983017,0.016983016983017,0.001998001998002,0.992807846500718,0.00719215349928251,0.000656790156174734,0.992807846500718,0.00719215349928251,0.000656790156174734,0.992160466783901,0.000652069500758635,0.00718746371534086
"Poecile gambeli",-1785820.80192092,630735.551347956,-1735255.76036786,636500.248184682,50892.5844979621,5764.69683672604,50565.0415530617,70.6878589855106,31,26,0.906495796802593,1,0.992007992007992,0.992007992007992,1,1,0.998001998001998,0.998001998001998,1,0.001998001998002,0.004995004995005,0.004995004995005,0.001998001998002,0.002997002997003,0.00599400599400599,0.00599400599400599,0.002997002997003,0.975939648693298,0.024060351306702,0.00663978572347485,0.975939648693298,0.024060351306702,0.00663978572347485,0.969614519874126,0.00648106553273128,0.0239044145931427
"Polioptila caerulea",807891.205491834,65550.6584339358,724746.65548968,98208.298343257,89328.2577883816,32657.6399093212,-83144.550002154,-63.4085466254916,216,293,0.840620585980951,0.993006993006993,0.982017982017982,0.982017982017982,1,0.994005994005994,0.983016983016983,0.983016983016983,1,0.00899100899100899,0.021978021978022,0.021978021978022,0.001998001998002,0.004995004995005,0.00699300699300699,0.00699300699300699,0.000999000999000999,0.991701709962054,0.00829829003794564,0.00765500753971881,0.991908427543519,0.00809157245648127,0.00765500753971881,0.984172743965682,0.0075919663349786,0.00823528969933967
