species,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,nS_NA,nE_NA,nU_NA,nS_A,nE_A,nU_A,n_centroid_hist_X,n_centroid_hist_Y,n_centroid_rec_X,n_centroid_rec_Y,n_centroids_dist,niche_stability_std,niche_unfilling_std,niche_expansion_std,niche_abandonment_std,niche_pioneering_std
Cardinalis cardinalis,0.830461385,0.991008991,0.935064935,0.935064935,0.965034965,0.989010989,1,1,0.965034965,0.005994006,0.057942058,0.057942058,0.025974026,0.00999001,0.000999001,0.000999001,0.033966034,0.968972111,0.031027889,0.005360985,0.987143069,0.012856931,0.005360985,0.238300545,-0.037198057,-0.866564283,-0.610302555,1.24465861,0.963937808,0.005195509,0.012554697,0,0.018311987
Cathartes aura,0.708784966,0.964035964,0.815184815,0.815184815,0.986013986,0.973026973,0.94005994,0.94005994,0.992007992,0.038961039,0.167832168,0.167832168,0.015984016,0.030969031,0.078921079,0.078921079,0.005994006,0.942732618,0.057267382,0.001771803,0.95648643,0.04351357,0.001650273,-0.67490888,-0.041492531,-0.713473636,0.715851938,0.758325712,0.941157777,0.001555735,0.042816221,0.000114771,0.014355495
Catharus fuscescens,0.778441405,0.981018981,0.684315684,0.684315684,0.946053946,0.973026973,0.736263736,0.736263736,0.948051948,0.016983017,0.28971029,0.28971029,0.054945055,0.013986014,0.265734266,0.265734266,0.038961039,0.94830449,0.05169551,0.050608034,0.962197311,0.037802689,0.046041346,-0.607411017,-1.317402271,0.538862086,-0.892189091,1.222598984,0.902674248,0.043566183,0.035464154,0.004551528,0.013743886
Catharus guttatus,0.556800195,1,0.877122877,0.877122877,0.995004995,1,0.99000999,0.99000999,1,0.000999001,0.138861139,0.138861139,0.004995005,0.002997003,0.014985015,0.014985015,0.000999001,0.964966949,0.035033051,0.111382996,0.989890155,0.010109845,0.052972969,1.321910416,0.774626088,0.74614277,0.971717147,0.608566568,0.860845131,0.048152292,0.008791896,0.05974966,0.022461021
Catharus ustulatus,0.599852985,1,0.979020979,0.979020979,1,1,1,1,1,0.001998002,0.022977023,0.022977023,0.001998002,0.000999001,0.000999001,0.000999001,0.000999001,0.941089305,0.058910695,0.107932386,0.979579945,0.020420055,0.00262131,-0.185678352,0.459961228,0.288717442,-1.415283634,1.934320206,0.844887399,0.002220533,0.017612291,0.100003459,0.035276318
Centronyx henslowii,0.413359043,0.867132867,0.64035964,0.64035964,0.722277722,0.863136863,0.663336663,0.663336663,0.736263736,0.124875125,0.351648352,0.351648352,0.264735265,0.144855145,0.335664336,0.335664336,0.266733267,0.475791836,0.524208164,0.305081396,0.486820359,0.513179641,0.296841466,1.755367783,-0.800077349,0.305360652,0.463239833,1.923146115,0.3935804,0.166151696,0.414891129,0.006636969,0.018739807
Certhia americana,0.610013606,0.997002997,0.579420579,0.579420579,1,0.996003996,0.997002997,0.997002997,1,0.007992008,0.412587413,0.412587413,0.002997003,0.007992008,0.002997003,0.002997003,0.000999001,0.966390332,0.033609668,0.106731069,0.99868363,0.00131637,0.015553347,0.499634328,-0.539587861,0.575587617,-0.720397133,0.196114495,0.866354241,0.013687596,0.001141946,0.089827607,0.028988611
Chaetura pelagica,0.83704519,0.995004995,0.771228771,0.771228771,0.963036963,0.994005994,1,1,0.988011988,0.008991009,0.242757243,0.242757243,0.037962038,0.007992008,0.000999001,0.000999001,0.012987013,0.973047751,0.026952249,0.015487935,0.994243122,0.005756878,0.011158163,0.345196423,0.135251883,-1.044939127,0.615772371,1.470842204,0.958377311,0.010814399,0.005549208,0.004262395,0.020996687
Chamaea fasciata,0.552584784,0.935064935,0.708291708,0.708291708,0.908091908,0.942057942,0.74025974,0.74025974,1,0.055944056,0.272727273,0.272727273,0.091908092,0.061938062,0.286713287,0.286713287,0.000999001,0.874315545,0.125684455,0.368024848,0.874315545,0.125684455,0.27877359,0.276108397,1.375869537,-1.604930434,0.27055467,2.181748849,0.579343222,0.223931886,0.083281645,0.113443248,0
Chondestes grammacus,0.820420804,0.991008991,0.989010989,0.989010989,0.989010989,0.99000999,0.992007992,0.992007992,0.99000999,0.006993007,0.008991009,0.008991009,0.007992008,0.005994006,0.003996004,0.003996004,0.005994006,0.968250945,0.031749055,0.026150948,0.970561797,0.029438203,0.026051309,-0.221119155,-1.403608382,0.035169062,-0.722456178,0.727771925,0.943713801,0.025242582,0.028623874,9.91E-05,0.002320605
