"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","Eucl_distance","NS_shift","EW_shift","shift_direction","n_routes_hist","n_routes_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","rS_NA","rE_NA","rU_NA","rS_A","rE_A","rU_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Hylocichla mustelina",1118998.6390868,318735.334464211,1084974.13177685,327955.153073434,35251.5553255663,9219.81860922283,-34024.5073099448,-67.2510578683238,312,315,0.943795827174417,1,0.988011988011988,0.988011988011988,1,1,0.986013986013986,0.986013986013986,1,0.002997002997003,0.018981018981019,0.018981018981019,0.002997002997003,0.000999000999000999,0.011988011988012,0.011988011988012,0.000999000999000999,0.995567687473657,0.00443231252634329,0.00677921564608453,0.995567687473657,0.00443231252634329,0.00677921564608453,0.988848231948533,0.00674937084606942,0.00440239720539733
"Icteria virens",671074.245617535,96824.6223457953,563244.641625676,21344.9061580605,131622.228566538,-75479.7161877348,-107829.603991859,-119.832398804989,233,195,0.834960288960897,0.999000999000999,0.974025974025974,0.974025974025974,1,0.999000999000999,0.979020979020979,0.979020979020979,1,0.000999000999000999,0.020979020979021,0.020979020979021,0.000999000999000999,0.002997002997003,0.022977022977023,0.022977022977023,0.002997002997003,0.983259527529304,0.0167404724706956,0.0188914023730634,0.983259527529304,0.0167404724706956,0.0188914023730634,0.964989555070692,0.0185810276403018,0.0164294172890059
"Icterus bullockii",-1436003.25683203,289476.566121154,-1466703.14222883,374474.760427969,90372.4294173588,84998.1943068155,-30699.8853967946,-30.4592412385344,60,58,0.914408382572568,0.998001998001998,0.983016983016983,0.983016983016983,1,0.997002997002997,0.974025974025974,0.974025974025974,1,0.000999000999000999,0.00999000999000999,0.00999000999000999,0.000999000999000999,0.002997002997003,0.01998001998002,0.01998001998002,0.000999000999000999,0.967996283135753,0.0320037168642473,0.00621591379074145,0.967996283135753,0.0320037168642473,0.00621591379074145,0.962170708565379,0.00601817865612275,0.0318111127784983
"Icterus galbula",864302.733550356,474962.952393542,857840.911999758,467833.444775637,9622.11081964529,-7129.50761790486,-6461.8215505979,-131.072875730774,336,304,0.908993227742066,0.998001998001998,0.993006993006993,0.993006993006993,1,0.999000999000999,0.995004995004995,0.995004995004995,1,0.001998001998002,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.002997002997003,0.002997002997003,0.001998001998002,0.997998719315014,0.00200128068498634,0.0109575790197941,0.997998719315014,0.00200128068498634,0.0109575790197941,0.987084715455968,0.010935889643763,0.00197939490026914
"Icterus spurius",682370.745712723,64673.4560408947,705328.745201295,156711.628146759,94858.2883310988,92038.1721058639,22957.9994885717,19.0704509407113,245,292,0.856005433373621,0.987012987012987,0.956043956043956,0.956043956043956,1,0.993006993006993,0.967032967032967,0.967032967032967,1,0.011988011988012,0.048951048951049,0.048951048951049,0.000999000999000999,0.010989010989011,0.038961038961039,0.038961038961039,0.000999000999000999,0.93799880384298,0.0620011961570205,0,0.93799880384298,0.0620011961570205,0,0.937998803842979,0,0.0620011961570205
"Junco hyemalis hyemalis",1475362.62589521,752883.53194985,1630731.3965188,717225.463023826,159408.132680287,-35658.0689260241,155368.770623581,113.624422997963,42,39,0.79107143617093,1,0.999000999000999,0.999000999000999,1,1,1,1,1,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.993946760339506,0.00605323966049393,0.132906098814295,0.993946760339506,0.00605323966049393,0.132906098814295,0.862539097452114,0.132207949289464,0.00525295325842238
"Junco hyemalis oreganus",-1895839.81546393,772121.213393041,-1937583.44253921,796170.749972491,48175.8301546202,24049.5365794501,-41743.6270752854,-74.3233219746436,42,41,0.932925395457702,1,0.997002997002997,0.997002997002997,1,1,1,1,1,0.000999000999000999,0.00799200799200799,0.00799200799200799,0.000999000999000999,0.000999000999000999,0.004995004995005,0.004995004995005,0.000999000999000999,0.997833255708923,0.00216674429107741,0.0339631341211928,0.997833255708923,0.00216674429107741,0.0339631341211928,0.964014652300542,0.0338920387899418,0.00209330890951633
"Lanius ludovicianus",152586.992631087,-21693.0910656238,-238361.455814781,-39129.1584222479,391337.074383575,-17436.0673566241,-390948.448445868,-91.4463012055811,190,80,0.735341487262447,0.998001998001998,0.885114885114885,0.885114885114885,1,0.999000999000999,0.881118881118881,0.881118881118881,1,0.004995004995005,0.100899100899101,0.100899100899101,0.001998001998002,0.002997002997003,0.0979020979020979,0.0979020979020979,0.000999000999000999,0.995103460953091,0.00489653904690896,0.0285875867793029,0.995103460953091,0.00489653904690896,0.0285875867793029,0.966791186066056,0.0284515892045219,0.00475722472942241
"Larus delawarensis",118159.244844085,741461.780651123,311154.063654713,822895.787898384,209471.949492275,81434.0072472617,192994.818810628,67.9989076793444,46,46,0.73364661595039,1,1,1,1,1,1,1,1,0.000999000999000999,0.221778221778222,0.221778221778222,0.000999000999000999,0.001998001998002,0.222777222777223,0.222777222777223,0.001998001998002,1,0,0.137822792258271,1,0,0.137822792258271,0.862177207741729,0.137822792258271,0
"Leiothlypis celata",-1871513.63551149,686557.052111132,-1912105.1012289,722548.119643132,54249.6454475059,35991.0675320004,-40591.4657174028,-62.5401739760711,28,32,0.829490976053664,1,1,1,1,1,1,1,1,0.000999000999000999,0.004995004995005,0.004995004995005,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.996305392800689,0.00369460719931099,0.0750484187327543,0.996305392800689,0.00369460719931099,0.0750484187327543,0.921789837246076,0.0747918821809692,0.00341828057295516
