"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","niche_stability_NA","niche_expansion_NA","niche_unfilling_NA","niche_stability_A","niche_expansion_A","niche_unfilling_A","niche_centroid_hist_X","niche_centroid_hist_Y","niche_centroid_rec_X","niche_centroid_rec_Y","niche_centroids_dist","niche_stability_std","niche_unfilling_std","niche_expansion_std","niche_abandonment_std","niche_pioneering_std"
"Haemorhous cassinii",0.676333757917743,0.977022977022977,0.891108891108891,0.891108891108891,0.985014985014985,0.983016983016983,0.881118881118881,0.881118881118881,1,0.018981018981019,0.123876123876124,0.123876123876124,0.014985014985015,0.011988011988012,0.118881118881119,0.118881118881119,0.000999000999000999,0.979845576326848,0.0201544236731517,0.0968304167676419,0.979845576326848,0.0201544236731517,0.0666111944417171,-0.944473696962501,1.49013354737685,-0.909760967799115,0.994893249738454,0.496455361508905,0.886697164624821,0.0632790503721711,0.0182384558928393,0.0317853291101689,0
"Haemorhous mexicanus",0.847988322018102,0.999000999000999,0.951048951048951,0.951048951048951,0.985014985014985,0.998001998001998,0.942057942057942,0.942057942057942,1,0.001998001998002,0.0609390609390609,0.0609390609390609,0.016983016983017,0.003996003996004,0.047952047952048,0.047952047952048,0.000999000999000999,0.992732101465629,0.00726789853437066,0.00938260541212629,0.993095994032492,0.00690400596750795,0.00607833833490069,-0.184501818812918,-0.721667551173491,0.455815112883829,-0.556092164909485,0.661378092738195,0.983484753496965,0.00601451131365444,0.00683718859797754,0.00330053748451783,0.00036300910688529
"Haemorhous purpureus",0.643959360315886,0.996003996003996,0.801198801198801,0.801198801198801,1,0.996003996003996,0.891108891108891,0.891108891108891,1,0.004995004995005,0.246753246753247,0.246753246753247,0.000999000999000999,0.00599400599400599,0.103896103896104,0.103896103896104,0.000999000999000999,0.98452379732803,0.0154762026719703,0.0708051016267328,0.988780465089648,0.0112195349103518,0.0107490395196696,0.0735497507281989,1.35009075637328,0.338603710703393,1.46284195191726,0.288038944927817,0.91581803780952,0.00995112936404026,0.0103916418350783,0.0598346490041158,0.00400454198724516
"Haliaeetus leucocephalus",0.570403076913727,0.955044955044955,0.88011988011988,0.88011988011988,1,0.968031968031968,0.904095904095904,0.904095904095904,1,0.050949050949051,0.13986013986014,0.13986013986014,0.000999000999000999,0.044955044955045,0.107892107892108,0.107892107892108,0.000999000999000999,0.963650130697052,0.0363498693029483,0.0349953804626987,0.965348644644354,0.0346513553556457,0.00994067901131738,-0.593754990320777,-1.43908237733187,-0.576940062710439,-0.858141754035813,0.581183920619073,0.931111273446938,0.00934881183070119,0.033422399037753,0.024417444421012,0.00170007126359564
"Helmitheros vermivorum",0.73131374027179,0.992007992007992,0.991008991008991,0.991008991008991,0.971028971028971,0.975024975024975,0.982017982017982,0.982017982017982,0.945054945054945,0.014985014985015,0.017982017982018,0.017982017982018,0.036963036963037,0.022977022977023,0.014985014985015,0.014985014985015,0.046953046953047,0.920636707202229,0.0793632927977707,0.0158229736095254,0.922094986623935,0.0779050133760653,0.0158229736095254,-0.244327657106926,-0.709914435104304,-0.673022754783936,-0.722230230623064,0.42887196876406,0.907208736305363,0.0145855262904657,0.0766473191612493,0,0.00155841824292158
"Himantopus mexicanus",0.652599393618431,1,0.864135864135864,0.864135864135864,1,0.999000999000999,0.869130869130869,0.869130869130869,1,0.002997002997003,0.13986013986014,0.13986013986014,0.000999000999000999,0.000999000999000999,0.113886113886114,0.113886113886114,0.000999000999000999,0.911861448189963,0.0881385518100369,0.0646196032169681,0.911861448189963,0.0881385518100369,0.0427129536365798,-1.65614709249253,-1.55823897191783,-0.330743709949345,-2.28029662240294,1.50932480834345,0.857823035657655,0.0382749935765094,0.0829153159421698,0.0209866548236661,1.38777878078145e-17
"Hylocichla mustelina",0.826490525893385,0.995004995004995,0.896103896103896,0.896103896103896,0.969030969030969,0.992007992007992,0.897102897102897,0.897102897102897,0.999000999000999,0.011988011988012,0.0969030969030969,0.0969030969030969,0.036963036963037,0.00699300699300699,0.103896103896104,0.103896103896104,0.000999000999000999,0.992076795711353,0.00792320428864719,0.0320133789931658,0.992414987205078,0.00758501279492165,0.0216198193545254,-0.129706008687462,-0.733692013627508,-0.400969236466354,-0.4770115342708,0.373454960106052,0.960560710083278,0.0212260524506478,0.00734155103481433,0.0105417358539628,0.000329950577296944
"Icteria virens",0.805388060471472,0.995004995004995,0.993006993006993,0.993006993006993,0.972027972027972,0.992007992007992,0.997002997002997,0.997002997002997,0.979020979020979,0.00599400599400599,0.00899100899100899,0.00899100899100899,0.028971028971029,0.00699300699300699,0.003996003996004,0.003996003996004,0.021978021978022,0.969252159865071,0.0307478401349296,0.00562214579037087,0.970436569366809,0.0295634306331911,0.00531331400915188,1.42864255417571,-0.332102924167716,1.84664515923776,0.0153784758078665,0.543571063585662,0.963969523207928,0.00514923225995936,0.0293664181992466,0.000300986863491406,0.0012138394693748
"Icterus bullockii",0.617136648722863,0.99000999000999,1,1,0.993006993006993,0.981018981018981,1,1,1,0.018981018981019,0.0999000999000999,0.0999000999000999,0.00599400599400599,0.00699300699300699,0.0989010989010989,0.0989010989010989,0.000999000999000999,1,0,0.102694804787941,1,0,0.0920354769532393,0.210806456524866,-0.724609034692033,0.364794613654221,-1.01967554776086,0.33283118794772,0.897305195212059,0.0909549982601117,0,0.0117398065278295,0
"Icterus galbula",0.848731057430784,0.999000999000999,0.986013986013986,0.986013986013986,0.982017982017982,0.999000999000999,0.993006993006993,0.993006993006993,0.989010989010989,0.003996003996004,0.013986013986014,0.013986013986014,0.014985014985015,0.002997002997003,0.00699300699300699,0.00699300699300699,0.015984015984016,0.991566148995585,0.00843385100441481,0.0194133881089499,0.99282155316147,0.00717844683853025,0.0190683679256708,-0.248730103201878,0.811759752810968,0.222239990235955,1.00308059664818,0.508346824716575,0.972475713591207,0.0189039929993116,0.00703133930719663,0.000348817742277067,0.00124013636000742
