"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","Eucl_distance","NS_shift","EW_shift","shift_direction","n_routes_hist","n_routes_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","rS_NA","rE_NA","rU_NA","rS_A","rE_A","rU_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Empidonax difficilis",-2037086.34649586,1011703.59885906,-2046689.3934567,975599.637205059,37359.2633498841,-36103.961654005,-9603.04696084186,179.31864177982,41,45,0.877876673609664,1,0.96003996003996,0.96003996003996,1,1,0.975024975024975,0.975024975024975,1,0.000999000999000999,0.041958041958042,0.041958041958042,0.000999000999000999,0.001998001998002,0.014985014985015,0.014985014985015,0.001998001998002,0.990607754279162,0.00939224572083786,0.0502099682753545,0.997076079579307,0.00292392042069265,0.0502099682753545,0.941313278983411,0.0497618508262351,0.00892487019035418
"Empidonax hammondii",-1606282.49981691,922423.314115251,-1582484.61862849,909334.538946785,27159.8082553706,-13088.7751684666,23797.8811884131,106.445237389942,55,60,0.886404043795036,1,1,1,1,1,1,1,1,0.000999000999000999,0.016983016983017,0.016983016983017,0.000999000999000999,0.000999000999000999,0.018981018981019,0.018981018981019,0.000999000999000999,1,0,0.077839146925664,1,0,0.0687435090105649,0.922160853074336,0.077839146925664,0
"Empidonax minimus",931258.933939104,829700.544810124,858448.935932651,870955.546713604,83685.5482849684,41255.0019034798,-72809.9980064528,-53.4588357440202,219,183,0.889247576322015,0.999000999000999,0.969030969030969,0.969030969030969,1,0.999000999000999,1,1,0.999000999000999,0.004995004995005,0.032967032967033,0.032967032967033,0.003996003996004,0.003996003996004,0.000999000999000999,0.000999000999000999,0.003996003996004,0.980408406162832,0.019591593837168,0.0225055774152474,1,0,0.0225055774152474,0.958766488325764,0.0220743903265489,0.0191591213476871
"Empidonax oberholseri",-1451537.03943708,785433.021603954,-1440303.31534498,742695.174393794,44189.5931315998,-42737.8472101599,11233.724092097,154.121450828533,81,84,0.905287770461648,0.999000999000999,0.997002997002997,0.997002997002997,1,0.997002997002997,0.997002997002997,0.997002997002997,1,0.002997002997003,0.003996003996004,0.003996003996004,0.000999000999000999,0.002997002997003,0.002997002997003,0.002997002997003,0.000999000999000999,0.99680578083458,0.00319421916541976,0.0258088439634094,0.99680578083458,0.00319421916541976,0.0258088439634094,0.971159437489088,0.0257285258960069,0.00311203661490474
"Empidonax occidentalis",-1220877.85203546,545448.412483318,-1089415.33132193,432282.89783431,173461.315739654,-113165.514649007,131462.520713537,121.330874594588,44,36,0.807603480697093,0.992007992007992,0.988011988011988,0.988011988011988,0.987012987012987,0.995004995004995,0.994005994005994,0.994005994005994,0.988011988011988,0.00599400599400599,0.010989010989011,0.010989010989011,0.013986013986014,0.00699300699300699,0.00799200799200799,0.00799200799200799,0.00799200799200799,0.905070129357935,0.0949298706420654,0.0446978512421428,0.905070129357935,0.0949298706420654,0.0446978512421428,0.868299775300312,0.0406270772450621,0.0910731474546264
"Empidonax traillii",406856.202006198,669629.314948574,403068.087876663,671073.068180952,4053.91564470477,1443.75323237793,-3788.11412953469,-66.2963983677064,319,307,0.945812144916663,1,0.643356643356643,0.643356643356643,1,1,0.613386613386613,0.613386613386613,1,0.000999000999000999,0.372627372627373,0.372627372627373,0.000999000999000999,0.001998001998002,0.377622377622378,0.377622377622378,0.000999000999000999,0.99573748578494,0.00426251421505971,0.0026542893567564,0.99573748578494,0.00426251421505971,0.000432265763209032,0.993105746319197,0.00264300531346203,0.0042512483673406
"Empidonax virescens",1079703.19359732,39106.7933983738,1090835.1830887,38815.2700776762,11135.8060275268,-291.523320697539,11131.9894913798,98.7578380962861,275,271,0.938906072349065,1,0.949050949050949,0.949050949050949,1,1,0.945054945054945,0.945054945054945,1,0.001998001998002,0.0609390609390609,0.0609390609390609,0.001998001998002,0.000999000999000999,0.0659340659340659,0.0659340659340659,0.000999000999000999,0.995097227344337,0.00490277265566334,0.0124479702617612,0.995097227344337,0.00490277265566334,0.0124479702617612,0.982770264695705,0.0123876967093247,0.00484203859497021
"Empidonax wrightii",-1523399.45463349,416659.148208844,-1499024.17089665,408388.763933437,25740.1187509824,-8270.3842754073,24375.2837368464,97.6869773139887,39,46,0.871258140872184,0.999000999000999,0.999000999000999,0.999000999000999,1,1,1,1,1,0.001998001998002,0.004995004995005,0.004995004995005,0.000999000999000999,0.000999000999000999,0.002997002997003,0.002997002997003,0.000999000999000999,0.954235377030485,0.0457646229695155,0.00663400408499449,0.954235377030485,0.0457646229695155,0.00663400408499449,0.94819284954641,0.00633232389987272,0.0454748265537169
"Eremophila alpestris",-103195.894178476,421954.276513158,-116702.694547098,422110.640511882,13507.7054268254,156.363998723158,-13506.8003686214,-90.0783962116286,441,433,0.970926086686459,1,0.84015984015984,0.84015984015984,1,1,0.834165834165834,0.834165834165834,1,0.000999000999000999,0.173826173826174,0.173826173826174,0.000999000999000999,0.000999000999000999,0.163836163836164,0.163836163836164,0.000999000999000999,0.997339075597116,0.00266092440288429,0.0011271917346085,0.997370874895752,0.00262912510424838,0.0011271917346085,0.996217871262483,0.00112419573449635,0.00265793300302075
"Euphagus cyanocephalus",-1066473.40287643,781411.025811522,-1185856.01628536,781205.211588663,119382.790819456,-205.814222859568,-119382.613408937,-98.0127230746816,249,215,0.912140299224793,1,1,1,1,1,1,1,1,0.000999000999000999,0.0739260739260739,0.0739260739260739,0.000999000999000999,0.000999000999000999,0.0699300699300699,0.0699300699300699,0.000999000999000999,1,0,0.0217743226135232,1,0,0.0175028088818454,0.978225677386477,0.0217743226135232,0
