species,stability,PCA_percent
Setophaga dominica,0.99966812,0.647633168
Setophaga fusca,0.87771006,0.740327297
Setophaga magnolia,0.613079311,0.692999186
Setophaga nigrescens,0.960243887,0.732320113
Setophaga pensylvanica,0.892602049,0.728155304
Setophaga petechia,0.617497371,0.716283067
Setophaga pinus,0.928799889,0.72892191
Setophaga ruticilla,0.843648852,0.738055167
Setophaga townsendi,0.280439147,0.776467875
Setophaga virens,0.725931211,0.73413328
Sialia currucoides,0.748386832,0.719832677
Sialia mexicana,0.934226721,0.681422167
Sialia sialis,0.843136472,0.7169632
Sitta canadensis,0.735077503,0.739287968
Sitta carolinensis,0.955011141,0.687037811
Sitta pusilla,0.997699679,0.624979724
Spatula clypeata,0.541200557,0.722799737
Spatula cyanoptera,0.836490804,0.690635963
Spatula discors,0.8426427,0.715164659
Sphyrapicus nuchalis,0.959754247,0.706044954
Sphyrapicus ruber,0.439973434,0.822770112
Sphyrapicus varius,0.633885486,0.703940262
Spinus pinus,0.749814532,0.74174847
Spinus psaltria,0.721668834,0.700942458
Spinus tristis,0.957556753,0.652400404
Spiza americana,0.999665201,0.829832327
Spizella breweri,0.873906152,0.721141593
Spizella pallida,0.785925568,0.665629651
Spizella passerina,0.774083669,0.710433056
Spizella pusilla,0.996365213,0.79194807
Stelgidopteryx serripennis,0.918236176,0.68286882
Strix varia,0.856045357,0.645031184
Sturnella magna,0.671838965,0.708167548
Sturnella neglecta,0.97159987,0.676344834
Tachycineta bicolor,0.664378659,0.712086139
Tachycineta thalassina,0.765311615,0.743679349
Thryomanes bewickii,0.969570834,0.584026207
Thryothorus ludovicianus,0.964636863,0.683083142
Toxostoma rufum,0.99246659,0.792796149
Tringa semipalmata,0.9374639,0.758038874
Troglodytes aedon,0.420166544,0.73094386
Troglodytes hiemalis,0.739020924,0.718302962
Troglodytes pacificus,0.621907526,0.74917833
Turdus migratorius,0.682206239,0.727537633
Tyrannus forficatus,0.990746833,0.78603478
Tyrannus tyrannus,0.919518834,0.746956255
Tyrannus verticalis,0.967737952,0.659428156
Vermivora chrysoptera,0.998551423,0.765009837
Vermivora cyanoptera,0.997103654,0.717286519
Vireo bellii,0.983165263,0.709564212
Vireo cassinii,0.939461551,0.777770474
Vireo flavifrons,0.999384475,0.742240203
Vireo gilvus,0.870157889,0.692636606
Vireo griseus,0.964524322,0.681471978
Vireo huttoni,0.78227907,0.690443735
Vireo olivaceus,0.914302533,0.737233672
Vireo plumbeus,0.613680866,0.732023617
Vireo solitarius,0.725034661,0.755968506
Xanthocephalus xanthocephalus,0.957358558,0.660391621
Zonotrichia albicollis,0.445147208,0.717605315
Zonotrichia leucophrys,0.262793597,0.748523493
