"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","centroid_dist","centroid_NS_shift","centroid_EW_shift","n_cells_hist","n_cells_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","range_stability_NA","range_expansion_NA","range_unfilling_NA","range_stability_A","range_expansion_A","range_unfilling_A","range_stability_std","range_unfilling_std","range_expansion_std","range_abandonment_std","range_pioneering_std"
"Asio otus",4579401.21406771,3140125.52538956,4621467.35199304,3086400.64255297,68234.324176025,-53724.8828365891,42066.1379253389,2000,2185,0.934235920150741,1,0.652347652347652,0.652347652347652,1,1,0.668331668331668,0.668331668331668,1,0.000999000999000999,0.354645354645355,0.354645354645355,0.000999000999000999,0.000999000999000999,0.311688311688312,0.311688311688312,0.000999000999000999,0.997768406993,0.00223159300700037,0.000141729447006364,0.998182791870853,0.00181720812914728,0.000141729447006364,0.997627309360439,0.000141413209290054,0.00181619686413476,0,0.000415080566136668
"Branta leucopsis",4382165.03557067,4781773.56593007,4400311.35108264,4084752.34079773,697257.396555709,-697021.225132338,18146.3155119736,55,332,0.630967851156083,1,0.807192807192807,0.807192807192807,1,1,0.826173826173826,0.826173826173826,1,0.000999000999000999,0.196803196803197,0.196803196803197,0.000999000999000999,0.000999000999000999,0.180819180819181,0.180819180819181,0.000999000999000999,0.963835395991382,0.0361646040086177,0.0100377575722245,0.975948087888955,0.0240519121110447,0.0100377575722245,0.954507147044573,0.00967825936420811,0.023523507341194,1.73472347597681e-18,0.0122910862500244
"Buteo buteo",4567427.46277167,2993883.61562047,4583425.1244152,2969335.43344387,29300.8263746328,-24548.1821765979,15997.6616435321,2277,2446,0.94998943492797,1,0.735264735264735,0.735264735264735,1,1,0.752247752247752,0.752247752247752,1,0.001998001998002,0.253746253746254,0.253746253746254,0.001998001998002,0.003996003996004,0.267732267732268,0.267732267732268,0.003996003996004,0.999913393687043,8.6606312957518e-05,6.61045516408041e-05,0.999913393687043,8.6606312957518e-05,6.61045516408041e-05,0.99984730058467,6.60988269477373e-05,8.66005883818252e-05,0,0
"Caprimulgus europaeus",4591711.8502057,2917170.87904881,4647027.07397054,2891755.13757014,60874.739383961,-25415.7414786681,55315.2237648433,1664,1839,0.922679709262379,1,0.915084915084915,0.915084915084915,1,1,0.915084915084915,0.915084915084915,1,0.000999000999000999,0.0859140859140859,0.0859140859140859,0.000999000999000999,0.000999000999000999,0.0729270729270729,0.0729270729270729,0.000999000999000999,0.992082727428841,0.00791727257115928,0.000270274047888972,0.992082727428841,0.00791727257115928,0.000270274047888972,0.991816715536699,0.000268134788346675,0.00791514967495413,0,0
"Caprimulgus ruficollis",3092287.92193957,1941049.32816258,3114699.8286198,1919623.519599,31005.7870992871,-21425.8085635763,22411.9066802291,127,163,0.885207497908516,1,0.997002997002997,0.997002997002997,1,1,0.996003996003996,0.996003996003996,1,0.001998001998002,0.003996003996004,0.003996003996004,0.000999000999000999,0.003996003996004,0.002997002997003,0.002997002997003,0.000999000999000999,0.993650498720012,0.0063495012799885,0.0211368170281225,0.993650498720012,0.0063495012799885,0.0211368170281225,0.972778444828245,0.0210054278829965,0.0062161272887587,0,0
"Carduelis carduelis",4540401.51493766,2815161.5256279,4557842.62735129,2894807.36049518,81533.130774739,79645.8348672786,17441.1124136299,2209,2400,0.946304897892269,1,0.735264735264735,0.735264735264735,1,1,0.75024975024975,0.75024975024975,1,0.000999000999000999,0.256743256743257,0.256743256743257,0.000999000999000999,0.000999000999000999,0.265734265734266,0.265734265734266,0.000999000999000999,0.997302809618753,0.00269719038124699,0,0.997302809618753,0.00269719038124699,0,0.997302809618753,0,0.00269719038124699,0,0
"Carduelis citrinella",3890432.41754221,2353897.63170859,3786929.79203087,2383601.96026638,107680.73468736,29704.3285577847,-103502.62551134,169,149,0.813988563591263,1,1,1,1,1,1,1,1,0.002997002997003,0.002997002997003,0.002997002997003,0.002997002997003,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.944366884856701,0.0556331151432989,0.0702047655327697,0.944366884856701,0.0556331151432989,0.0620818142098732,0.881510754324355,0.0583481456091688,0.0519302297462756,0.00821087032020075,0
"Certhia brachydactyla",4239852.96322109,2576630.18342073,4270987.83568697,2558197.01643906,36182.3427715805,-18433.1669816622,31134.872465875,1222,1331,0.950521812250055,1,0.973026973026973,0.973026973026973,1,1,0.977022977022977,0.977022977022977,1,0.000999000999000999,0.028971028971029,0.028971028971029,0.000999000999000999,0.000999000999000999,0.026973026973027,0.026973026973027,0.000999000999000999,0.997692999125089,0.00230700087491139,0.00075251073750057,0.997692999125089,0.00230700087491139,0.00075251073750057,0.996943955168023,0.000750775997950139,0.00230526883402725,0,0
"Cettia cetti",3983671.69399924,2205539.76082392,4031437.0982865,2279161.39161013,87759.2067326602,73621.6307862084,47765.4042872558,750,884,0.913388538640025,1,0.95004995004995,0.95004995004995,1,1,0.948051948051948,0.948051948051948,1,0.001998001998002,0.0569430569430569,0.0569430569430569,0.001998001998002,0.002997002997003,0.051948051948052,0.051948051948052,0.000999000999000999,0.999311981323856,0.00068801867614418,0.00900599115607459,0.999311981323856,0.00068801867614418,0.00900599115607459,0.990318322757525,0.00899985063164751,0.000681826610827099,0,0
"Charadrius hiaticula",4276761.54146119,4150896.54319827,4302995.70972805,4132880.23893288,31824.8142812636,-18016.3042653911,26234.168266857,765,773,0.950559335593241,1,0.957042957042957,0.957042957042957,1,1,0.946053946053946,0.946053946053946,1,0.000999000999000999,0.0599400599400599,0.0599400599400599,0.000999000999000999,0.000999000999000999,0.0539460539460539,0.0539460539460539,0.000999000999000999,0.999990266514768,9.73348523195221e-06,0.00157905637563079,0.999990266514768,9.73348523195221e-06,0.00157905637563079,0.998411240854162,0.0015790410301783,9.71811565940432e-06,0,0
