"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","niche_stability_NA","niche_expansion_NA","niche_unfilling_NA","niche_stability_A","niche_expansion_A","niche_unfilling_A","niche_centroid_hist_X","niche_centroid_hist_Y","niche_centroid_rec_X","niche_centroid_rec_Y","niche_centroids_dist","niche_stability_std","niche_unfilling_std","niche_expansion_std","niche_abandonment_std","niche_pioneering_std"
"Emberiza calandra",0.870025327680672,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.994983634942107,0.00501636505789301,0.00383465075819859,0.994983634942107,0.00501636505789301,0.00383465075819859,0.207949709132182,-0.0722246939234935,0.269275366886115,0.239090928945736,0.317298366433565,0.991187286678629,0.00381548814488669,0.00499722517648419,0,0
"Emberiza cia",0.925838090423155,1,0.993006993006993,0.993006993006993,1,1,0.991008991008991,0.991008991008991,1,0.001998001998002,0.00899100899100899,0.00899100899100899,0.001998001998002,0.000999000999000999,0.00699300699300699,0.00699300699300699,0.000999000999000999,0.998496162693799,0.00150383730620057,0.00190639694622636,0.998496162693799,0.00150383730620057,0.00182596256743259,-0.185191200005078,0.743812204383491,-0.605560678187021,0.779645431898664,0.421893965803154,0.996595489808842,0.0018230749258353,0.00150097469851305,8.04605668094575e-05,0
"Emberiza cirlus",0.974202296716294,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,0.001998001998002,0.000999000999000999,0.999494521808802,0.000505478191198224,9.84652940420427e-05,0.999494521808802,0.000505478191198224,6.4069496063104e-05,0.283823763887878,0.347048519573559,0.215848981297971,0.274213288124418,0.0996270144508762,0.999396156028823,6.40349107686333e-05,0.00050542844429571,3.43806161130246e-05,0
"Emberiza citrinella",0.960028229833753,1,1,1,1,1,1,1,1,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,0,0.00212658693805283,1,0,0.00210928296149391,0.292937180431422,0.941188840566465,0.292937180431422,0.998847518024562,0.0576586774580972,0.997873413061947,0.00210924638536158,0,1.73405526912511e-05,0
"Emberiza hortulana",0.797372680525973,0.995004995004995,1,1,0.997002997002997,0.995004995004995,1,1,1,0.004995004995005,0.001998001998002,0.001998001998002,0.002997002997003,0.00599400599400599,0.003996003996004,0.003996003996004,0.004995004995005,1,0,0.0219361785022472,1,0,0.0219361785022472,-0.0474989929712825,1.19119761121592,0.200713428718009,1.40339067293548,0.32655061127302,0.978063821497753,0.0219361785022472,0,0,0
"Emberiza melanocephala",0.819446431864255,0.995004995004995,0.773226773226773,0.773226773226773,0.999000999000999,0.997002997002997,0.802197802197802,0.802197802197802,1,0.00599400599400599,0.173826173826174,0.173826173826174,0.003996003996004,0.010989010989011,0.201798201798202,0.201798201798202,0.000999000999000999,0.97750877384607,0.0224912261539298,0.00402090597804121,0.97750877384607,0.0224912261539298,0.00247523879552401,1.58274798182051,0.361830791639795,0.42965108401537,-0.438379906743464,1.40355606141503,0.973666356593596,0.00241603700827127,0.0224028170493617,0.00151478934877119,0
"Emberiza schoeniclus",0.949574333641477,1,0.991008991008991,0.991008991008991,1,1,0.994005994005994,0.994005994005994,1,0.001998001998002,0.010989010989011,0.010989010989011,0.001998001998002,0.002997002997003,0.013986013986014,0.013986013986014,0.000999000999000999,0.999595623366813,0.000404376633186657,0.0021338141866128,0.999595623366813,0.000404376633186657,0.00208558822441623,0.262425057098712,1.04060366942622,0.321629795708278,1.1455552437315,0.120499103826477,0.997463532720766,0.00208464591109129,0.000403514116768075,4.83072513746503e-05,0
"Erithacus rubecula",0.983529318849359,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.003996003996004,0.003996003996004,0.003996003996004,0.003996003996004,0.999770530987667,0.000229469012332664,3.85927213068135e-05,0.999770530987667,0.000229469012332664,3.85927213068135e-05,-0.0533920739911082,0.626499397474305,-0.051646548873231,0.599132289991268,0.0274227174059249,0.999731955975654,3.85838658148643e-05,0.000229460158531083,0,0
"Falco columbarius",0.915561798669369,1,1,1,1,1,1,1,1,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.000999000999000999,0.002997002997003,0.002997002997003,0.000999000999000999,0.99631336294703,0.00368663705296974,0.00345454787235413,0.99631336294703,0.00368663705296974,0.00345454787235413,-0.888381176353241,-1.78928316704091,-1.02730224570169,-1.68538439219193,0.173476277698232,0.992884195778558,0.00344185604248939,0.00367394817895251,0,0
"Ficedula albicollis",0.871460195022454,1,0.996003996003996,0.996003996003996,1,1,0.998001998001998,0.998001998001998,1,0.000999000999000999,0.002997002997003,0.002997002997003,0.000999000999000999,0.001998001998002,0.00599400599400599,0.00599400599400599,0.001998001998002,0.993481630830514,0.00651836916948626,0.00565107966663405,0.993481630830514,0.00651836916948626,0.00565107966663405,-0.536044988631047,-1.15337198075245,-0.555628664430574,-1.54812233152225,0.395235828070663,0.9879037772365,0.00561445065607401,0.00648177210742611,0,0
