"BBS_species","BL_name","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size"
"Sitta pusilla","Sitta pusilla",8546,"Sittidae","Passeriformes","AVIBASE-AD7F307B",5,2,2,1,5,15.3,10.4,3.3,3.9,14.8,65,15.1,49.9,23.3,35.4,10.2,"Dunning","NA","NO","NA","NA","Forest",1,"1","Omnivore","Invertivore","Insessorial","25.82","38.79","32.71","-85.64","891316.4"
"Sitta pygmaea","Sitta pygmaea",8545,"Sittidae","Passeriformes","AVIBASE-BD0914CB",5,2,3,0,4,14.1,9.7,3.2,3.7,16.8,66.4,11.9,54.4,18,38.3,10.6,"Dunning","NA","NO","NA","NA","Forest",1,"1","Omnivore","Invertivore","Insessorial","18.7","50.53","37.619999999999997","-111.62","1953869.52"
"Spatula clypeata","Spatula clypeata",508,"Anatidae","Anseriformes","AVIBASE-ED4CE8E7",8,4,4,0,4,68.8,47.9,18.6,18.7,33.8,226.4,130.2,94.2,58,75.1,612.56,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Omnivore","Aquatic predator","Aquatic","25.56","71.39","55.88","22.06","27068888.239999998"
"Spatula cyanoptera","Spatula cyanoptera",509,"Anatidae","Anseriformes","AVIBASE-0E599E6C",6,3,3,0,4,50.5,33.8,16,13.9,30.1,187.5,94.8,90.5,51,70.4,377.45,"Dunning","NA","NO","NA","NA","Wetland",3,"2","Herbivore","Herbivore aquatic","Aquatic","-55.98","52.1","11.06","-94.79","6567683.1299999999"
"Spatula discors","Spatula discors",510,"Anatidae","Anseriformes","AVIBASE-90E2543E",6,2,4,0,4,47.3,31.8,15.6,12.6,29.1,178.3,98.7,84.6,53.8,66.7,359.44,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Omnivore","Herbivore aquatic","Aquatic","25.87","67.069999999999993","48.81","-105.19","8349222.1299999999"
"Sphyrapicus nuchalis","Sphyrapicus nuchalis",3913,"Picidae","Piciformes","AVIBASE-20F4B01D",5,2,3,0,5,21.7,17,7,6,19.9,122.8,39,83.8,31.7,75.8,48.49,"Dunning","NA","NO","NA","NA","Woodland",2,"3","Omnivore","Omnivore","Insessorial","32.92","54.93","43.04","-112.81","2075623.96"
"Sphyrapicus ruber","Sphyrapicus ruber",3914,"Picidae","Piciformes","AVIBASE-52F63879",8,4,4,0,5,25.8,21.5,8,7.1,21.6,126.6,38.4,88.2,30.4,80.8,54.79,"Dunning","NA","NO","NA","NA","Woodland",2,"2","Carnivore","Invertivore","Insessorial","32.770000000000003","61.35","50.74","-126.41","1000123.48"
"Sphyrapicus varius","Sphyrapicus varius",3912,"Picidae","Piciformes","AVIBASE-9BE68BD3",19,11,8,0,10,24.8,19.2,6.7,6.3,20.5,124.8,42.2,82.6,33.9,74,50.3,"Dunning","NA","NO","NA","NA","Woodland",1,"3","Omnivore","Omnivore","Insessorial","37.65","64.819999999999993","52.85","-98.93","4472315.75"
"Spinus pinus","Spinus pinus",10228,"Fringillidae","Passeriformes","AVIBASE-B48335B1",5,2,3,0,4,14,9,4.3,5.5,13.9,72.4,25.6,47,35.2,48.3,12.7,"Dunning","NA","NO","NA","NA","Forest",1,"1","Herbivore","Granivore","Insessorial","14.9","65.72","49.57","-108.01","7806130.2800000003"
"Spinus psaltria","Spinus psaltria",10230,"Fringillidae","Passeriformes","AVIBASE-CD5C21CA",40,11,24,5,8,10.2,7.8,4.7,6.3,12.4,60.9,16.2,46.2,26,40.4,8.77,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Herbivore","Granivore","Insessorial","-8.61","46.31","30.17","-106.31","3951950.33"
"Spinus tristis","Spinus tristis",10229,"Fringillidae","Passeriformes","AVIBASE-C9ABA616",9,4,5,0,8,11.5,8.2,4.3,6.3,13.5,69.8,19.1,50.3,27.6,48.3,12.79,"Dunning","NA","NO","NA","NA","Forest",1,"1","Herbivore","Granivore","Insessorial","31.4","57.36","44.46","-96.32","7802444.2199999997"
"Spiza americana","Spiza americana",10710,"Cardinalidae","Passeriformes","AVIBASE-592E58CE",9,4,5,0,4,15.1,9.8,5.5,7.5,22.3,77.9,20.3,56.8,26.4,56.1,26.18,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Omnivore","Omnivore","Terrestrial","28.75","51.42","39.97","-94.69","3462252.57"
"Spizella breweri","Spizella breweri",10301,"Passerellidae","Passeriformes","AVIBASE-29967541",6,2,4,0,5,12.3,6.7,3.6,4.4,16.8,62.8,12.9,50.1,20.5,57.3,10.9,"Dunning","NA","NO","NA","NA","Shrubland",2,"3","Omnivore","Omnivore","Generalist","33.57","63.27","45.74","-115.39","3238311.53"
"Spizella pallida","Spizella pallida",10298,"Passerellidae","Passeriformes","AVIBASE-486265CF",5,2,3,0,4,10.1,6,3.4,4.9,17.4,60.8,11.2,49,18.6,56.8,11.2,"Dunning","NA","NO","NA","NA","Shrubland",2,"3","Omnivore","Granivore","Generalist","42.16","62.65","51.68","-104.79","3219955.48"
"Spizella passerina","Spizella passerina",10297,"Passerellidae","Passeriformes","AVIBASE-37E9CCDA",5,2,3,0,4,13.1,7,4,4.9,16.3,68,16.3,51,24.2,56,12.2,"Dunning","NA","NO","NA","NA","Forest",2,"3","Omnivore","Omnivore","Generalist","12.94","66.239999999999995","47.04","-103.73","13081064.539999999"
"Spizella pusilla","Spizella pusilla",10300,"Passerellidae","Passeriformes","AVIBASE-E23F6DE0",5,2,3,0,3,10.4,6.6,4.3,5.2,17.9,64.4,10.8,53.5,16.7,62,12.5,"Dunning","NA","NO","NA","NA","Grassland",2,"2","Omnivore","Granivore","Generalist","28.87","49.98","39.43","-90.09","3997616.97"
"Stelgidopteryx serripennis","Stelgidopteryx serripennis",7753,"Hirundinidae","Passeriformes","AVIBASE-B90C04E9",21,9,8,4,5,10.5,4.8,3.4,2.5,11,107.5,55.1,53.6,50.7,47.8,15.69,"Dunning","NA","NO","NA","NA","Shrubland",3,"3","Carnivore","Invertivore","Aerial","9.8699999999999992","56.43","39.57","-100.58","9837317.4299999997"
"Sterna forsteri","Sterna forsteri",2669,"Laridae","Charadriiformes","AVIBASE-D13B9122",5,2,3,0,4,45.3,28,4.9,8.8,24.3,252.6,173.5,79,68.7,131.4,149,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Aquatic predator","Aerial","25.88","55.17","46.22","-104.5","1801878.95"
