"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","centroid_dist","centroid_NS_shift","centroid_EW_shift","n_cells_hist","n_cells_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","range_stability_NA","range_expansion_NA","range_unfilling_NA","range_stability_A","range_expansion_A","range_unfilling_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Anthus petrosus",4005103.09348872,3907572.63443071,4014176.2184202,3928397.80676846,22715.8402644297,20825.1723377472,9073.12493147841,234,225,0.936686506259899,1,1,1,1,1,1,1,1,0.000999000999000999,0.284715284715285,0.284715284715285,0.000999000999000999,0.000999000999000999,0.261738261738262,0.261738261738262,0.000999000999000999,1,0,0.0347269449530848,1,0,0.0337218169395702,0.965273055046915,0.0347269449530848,0
"Anthus pratensis",4498815.4558578,3675137.54898498,4471407.86799206,3678556.18490816,27619.9736457697,3418.63592317328,-27407.5878657317,1381,1360,0.978049508622979,1,0.851148851148851,0.851148851148851,1,1,0.82017982017982,0.82017982017982,1,0.000999000999000999,0.166833166833167,0.166833166833167,0.000999000999000999,0.000999000999000999,0.153846153846154,0.153846153846154,0.000999000999000999,0.999899007435527,0.000100992564472874,0.00267279641713947,0.999899007435527,0.000100992564472874,0.00267279641713947,0.997226750134926,0.00267252720597711,0.000100722659096719
"Anthus trivialis",4599687.79801843,3330528.47755623,4589514.19095873,3320691.13643379,14151.8748215365,-9837.34112243727,-10173.6070597032,1751,1740,0.971866908231008,1,0.897102897102897,0.897102897102897,1,1,0.923076923076923,0.923076923076923,1,0.000999000999000999,0.0949050949050949,0.0949050949050949,0.000999000999000999,0.000999000999000999,0.0789210789210789,0.0789210789210789,0.000999000999000999,0.999883131023133,0.000116868976867145,0.00569561399425522,0.999883131023133,0.000116868976867145,0.00569561399425522,0.994188844441897,0.00569495214446633,0.000116203413636713
"Apus apus",4502958.45742775,3115065.01635337,4516066.85404138,3105477.03341602,16240.673587858,-9587.98293735506,13108.3966136342,1968,1970,0.989287963515682,1,1,1,1,1,1,1,1,0.001998001998002,0.0799200799200799,0.0799200799200799,0.001998001998002,0.000999000999000999,0.0559440559440559,0.0559440559440559,0.000999000999000999,1,0,0.000259386551957936,1,0,0.000259386551957936,0.999740613448042,0.000259386551957936,0
"Apus pallidus",4132172.50030851,1974700.49051651,4095683.76094389,2048435.87322314,82269.8897733065,73735.3827066266,-36488.7393646222,166,285,0.863623992703938,0.999000999000999,0.79020979020979,0.79020979020979,1,0.999000999000999,0.837162837162837,0.837162837162837,1,0.000999000999000999,0.175824175824176,0.175824175824176,0.000999000999000999,0.001998001998002,0.163836163836164,0.163836163836164,0.000999000999000999,0.969281492253293,0.0307185077467072,0.00671343206875371,0.969281492253293,0.0307185077467072,0.00671343206875371,0.962972877436411,0.00650854768950135,0.0305185748740874
"Aquila adalberti",2956344.88128768,1915488.84947656,3021949.40253361,1929762.51275538,67139.3377335944,14273.6632788137,65604.5212459378,30,42,0.691381084022854,0.98001998001998,0.919080919080919,0.919080919080919,0.963036963036963,0.972027972027972,0.926073926073926,0.926073926073926,0.961038961038961,0.032967032967033,0.0779220779220779,0.0779220779220779,0.045954045954046,0.030969030969031,0.0889110889110889,0.0889110889110889,0.037962037962038,0.764776478403315,0.235223521596685,0.0373480491061121,0.764776478403315,0.235223521596685,0.0373480491061121,0.742738631523325,0.028816062604331,0.228445305872344
"Aquila chrysaetos",4425846.28857444,3164574.56524839,4417767.80434123,3270321.16260238,106054.72530469,105746.597353991,-8078.48423321359,695,812,0.916476051366995,1,1,1,1,1,1,1,1,0.000999000999000999,0.636363636363636,0.636363636363636,0.000999000999000999,0.000999000999000999,0.619380619380619,0.619380619380619,0.000999000999000999,1,0,0.0229365232348473,1,0,0.0229365232348473,0.977063476765153,0.0229365232348473,0
"Asio otus",4534793.08700833,3154066.93690446,4544857.57778407,3141486.02066844,16111.2826277965,-12580.9162360206,10064.4907757407,1752,1779,0.969456767361002,1,0.589410589410589,0.589410589410589,1,1,0.63036963036963,0.63036963036963,1,0.001998001998002,0.407592407592408,0.407592407592408,0.001998001998002,0.000999000999000999,0.331668331668332,0.331668331668332,0.000999000999000999,0.997366612012968,0.002633387987032,4.50930508498818e-05,0.997896382035838,0.00210361796416163,4.50930508498818e-05,0.99732175613908,4.49743086920618e-05,0.00263326955222776
"Branta leucopsis",4381394.26386287,4417172.05358506,4421728.22059959,3953124.53728335,465797.086134967,-464047.51630171,40333.956736722,41,281,0.643554826271286,1,0.754245754245754,0.754245754245754,1,1,0.783216783216783,0.783216783216783,1,0.000999000999000999,0.255744255744256,0.255744255744256,0.000999000999000999,0.000999000999000999,0.20979020979021,0.20979020979021,0.000999000999000999,0.932356247214813,0.0676437527851872,0.0208353507729652,0.939745898116368,0.0602541018836322,0.0203712612044681,0.914218760599456,0.0194533866958452,0.0663278527046988
"Buteo buteo",4527269.87824686,3050396.24331133,4509565.24389556,3041030.13113651,20029.4317139684,-9366.11217482062,-17704.6343512991,1895,1936,0.976704696568263,1,1,1,1,1,1,1,1,0.001998001998002,0.525474525474525,0.525474525474525,0.001998001998002,0.000999000999000999,0.516483516483517,0.516483516483517,0.000999000999000999,1,0,9.59333956953796e-05,1,0,9.59333956953796e-05,0.999904066604305,9.59333956953796e-05,0
"Caprimulgus europaeus",4563049.77990022,2962388.8404037,4569389.66371057,2959837.34146074,6834.0525008703,-2551.49894296285,6339.88381034788,1476,1482,0.960021166339303,1,0.903096903096903,0.903096903096903,1,1,0.913086913086913,0.913086913086913,1,0.000999000999000999,0.102897102897103,0.102897102897103,0.000999000999000999,0.000999000999000999,0.0929070929070929,0.0929070929070929,0.000999000999000999,0.994915860828732,0.00508413917126777,0.000166343502327983,0.994915860828732,0.00508413917126777,0.000166343502327983,0.994751204314459,0.000165497928775747,0.00508329775676531
"Caprimulgus ruficollis",3108632.12539844,1959143.6892079,3131781.09949623,1949247.64693781,25175.5169637422,-9896.04227009951,23148.9740977883,102,110,0.909129655395339,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.988951281676346,0.011048718323654,0.0372396325510928,0.988951281676346,0.011048718323654,0.0372396325510928,0.952515011837943,0.0368433415411933,0.0106416466208631
"Carduelis carduelis",4480765.99505855,2891019.60559263,4484597.60946429,2970986.11469039,80058.2528302789,79966.5090977629,3831.61440573819,1765,1873,0.948466137896258,1,0.475524475524476,0.475524475524476,1,1,0.474525474525474,0.474525474525474,1,0.000999000999000999,0.566433566433566,0.566433566433566,0.000999000999000999,0.000999000999000999,0.519480519480519,0.519480519480519,0.000999000999000999,0.995496535653392,0.00450346434660738,0,0.995496535653392,0.00450346434660738,0,0.995496535653393,0,0.00450346434660738
"Carduelis citrinella",3841630.95928123,2421286.0277433,3827298.12849041,2397544.01579138,27732.8896800067,-23742.0119519187,-14332.8307908233,140,138,0.904407441352044,1,1,1,1,1,1,1,1,0.001998001998002,0.001998001998002,0.001998001998002,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.950325625101761,0.0496743748982391,0,0.950325625101761,0.0496743748982391,0,0.950325625101761,0,0.0496743748982391
"Certhia brachydactyla",4249870.37020888,2627404.2184293,4264973.97994245,2627837.79258633,15109.8316844899,433.574157027528,15103.6097335694,1087,1126,0.968418142133414,1,0.972027972027972,0.972027972027972,1,1,0.97002997002997,0.97002997002997,1,0.000999000999000999,0.02997002997003,0.02997002997003,0.000999000999000999,0.000999000999000999,0.034965034965035,0.034965034965035,0.000999000999000999,0.996125477732406,0.00387452226759429,0.000422755482233496,0.996125477732406,0.00387452226759429,0.000422755482233496,0.99570599116775,0.000421118196485136,0.00387289063576472
"Cettia cetti",3950033.02305914,2266205.71053641,3957174.47296573,2341040.93905052,75175.2069071108,74835.228514106,7141.44990659785,598,671,0.923931682141752,1,0.911088911088911,0.911088911088911,1,1,0.902097902097902,0.902097902097902,1,0.000999000999000999,0.0929070929070929,0.0929070929070929,0.000999000999000999,0.001998001998002,0.0979020979020979,0.0979020979020979,0.000999000999000999,0.995763486072016,0.00423651392798446,0.00600321618620481,0.995763486072016,0.00423651392798446,0.00600321618620481,0.98981087616676,0.00597793551231347,0.00421118832092595
"Charadrius hiaticula",4305876.4483712,4078374.30091629,4335366.4120044,4075739.45137113,29607.4380386668,-2634.84954516264,29489.9636332067,626,637,0.954184974002271,1,0.872127872127872,0.872127872127872,1,1,0.884115884115884,0.884115884115884,1,0.001998001998002,0.132867132867133,0.132867132867133,0.001998001998002,0.000999000999000999,0.141858141858142,0.141858141858142,0.000999000999000999,0.999942615010166,5.73849898343778e-05,0.00340512871867521,0.999942615010166,5.73849898343778e-05,0.00340512871867521,0.996537876421534,0.00340493398073356,5.71895977325067e-05
"Ciconia ciconia",4814503.31565627,2918622.68800251,4692989.64609168,2863154.66649233,133574.972585833,-55468.0215101726,-121513.669564593,919,1109,0.896050236539988,0.997002997002997,0.887112887112887,0.887112887112887,1,1,0.898101898101898,0.898101898101898,1,0.003996003996004,0.114885114885115,0.114885114885115,0.000999000999000999,0.001998001998002,0.106893106893107,0.106893106893107,0.000999000999000999,0.996938208834106,0.00306179116589439,0.00028431245992696,0.996938208834106,0.00306179116589439,0.00028431245992696,0.996655634473647,0.000283442201286762,0.00306092332506645
"Cinclus cinclus",4272710.50632323,3136730.83829723,4297583.14373574,3196247.77736264,64505.148070294,59516.9390654131,24872.6374125155,1035,1018,0.92564835941734,1,0.955044955044955,0.955044955044955,1,1,0.963036963036963,0.963036963036963,1,0.000999000999000999,0.036963036963037,0.036963036963037,0.000999000999000999,0.001998001998002,0.037962037962038,0.037962037962038,0.001998001998002,0.999942079116615,5.7920883385389e-05,0.0197885502214617,0.999942079116615,5.7920883385389e-05,0.0197885502214617,0.980155798490938,0.019787426730913,5.67747781492108e-05
"Circus aeruginosus",4692541.39256858,3099896.39820765,4631420.31952418,3149179.28036544,78514.8905869261,49282.882157784,-61121.0730444007,1179,1421,0.913978349317884,1,0.826173826173826,0.826173826173826,1,1,0.822177822177822,0.822177822177822,1,0.000999000999000999,0.181818181818182,0.181818181818182,0.000999000999000999,0.000999000999000999,0.167832167832168,0.167832167832168,0.000999000999000999,0.987226236680153,0.0127737633198474,0.000434346405454723,0.987226236680153,0.0127737633198474,0.000434346405454723,0.986802913530483,0.000428800546360182,0.0127682859231567
"Circus pygargus",4344040.40784027,2833281.59346052,4490064.70585558,2934574.10959932,177716.823729753,101292.516138797,146024.298015309,816,927,0.895305623145123,1,0.907092907092907,0.907092907092907,1,1,0.911088911088911,0.911088911088911,1,0.000999000999000999,0.0949050949050949,0.0949050949050949,0.000999000999000999,0.001998001998002,0.10989010989011,0.10989010989011,0.001998001998002,0.99368019432952,0.00631980567047988,0.000403396515696745,0.993776273072331,0.00622372692766919,0.000403396515696745,0.993281879461905,0.000400848150026691,0.00631727238806834
"Coccothraustes coccothraustes",4582519.86205661,2981959.17040836,4585430.14474711,3060664.97622557,78759.5937945023,78705.8058172101,2910.28269049805,1398,1586,0.925266901131931,1,0.804195804195804,0.804195804195804,1,1,0.827172827172827,0.827172827172827,1,0.000999000999000999,0.167832167832168,0.167832167832168,0.000999000999000999,0.002997002997003,0.173826173826174,0.173826173826174,0.002997002997003,0.993217801531062,0.00678219846893805,0.000143344157732262,0.993217801531062,0.00678219846893805,0.000143344157732262,0.993076395019335,0.000142372107617688,0.00678123287304774
"Columba livia",4506470.40302496,3103445.81763171,4495576.56267883,3033876.90807497,70416.6807965352,-69568.9095567418,-10893.8403461315,1691,1883,0.919372091266731,1,0.450549450549451,0.450549450549451,1,1,0.446553446553447,0.446553446553447,1,0.000999000999000999,0.563436563436563,0.563436563436563,0.000999000999000999,0.000999000999000999,0.571428571428571,0.571428571428571,0.000999000999000999,0.99994947348601,5.05265139900186e-05,7.66188417498528e-05,0.99994947348601,5.05265139900186e-05,7.66188417498528e-05,0.999872862386334,7.66149707634715e-05,5.05226429026265e-05
"Columba oenas",4428725.75911025,3119239.641081,4495933.01356992,3171924.66317502,85396.2915181611,52685.0220940206,67207.2544596735,1354,1377,0.932613704975069,1,0.871128871128871,0.871128871128871,1,1,0.853146853146853,0.853146853146853,1,0.000999000999000999,0.151848151848152,0.151848151848152,0.000999000999000999,0.000999000999000999,0.123876123876124,0.123876123876124,0.000999000999000999,0.993633929102407,0.00636607089759318,0.00202589261191504,0.993633929102407,0.00636607089759318,0.00202589261191504,0.991633722542809,0.00201302159780791,0.00635325585938315
"Columba palumbus",4475848.08161386,3147931.3238715,4478977.13276806,3159703.99472915,12181.4096166284,11772.6708576488,3129.05115419254,1990,2029,0.981994039134492,1,0.182817182817183,0.182817182817183,1,1,0.393606393606394,0.393606393606394,1,0.000999000999000999,0.807192807192807,0.807192807192807,0.000999000999000999,0.000999000999000999,0.61038961038961,0.61038961038961,0.000999000999000999,0.999170111261559,0.000829888738440702,9.47824666085297e-06,0.999790601587928,0.000209398412071581,9.47824666085297e-06,0.999160648740076,9.47038084518194e-06,0.00082988087907829
"Coracias garrulus",4775090.37277098,2679012.98918653,4743127.53028233,2386670.32052629,294084.782366151,-292342.668660242,-31962.8424886512,522,347,0.744875749520484,1,0.94005994005994,0.94005994005994,1,1,0.925074925074925,0.925074925074925,1,0.001998001998002,0.0719280719280719,0.0719280719280719,0.001998001998002,0.000999000999000999,0.0539460539460539,0.0539460539460539,0.000999000999000999,0.994450858434843,0.00554914156515646,0.0689067683076768,0.994450858434843,0.00554914156515646,0.0689067683076768,0.926280648631517,0.0685506068249758,0.00516874454350729
"Coturnix coturnix",4481605.98242227,2806411.97984174,4496300.90453992,3035963.88555928,230021.777565943,229551.905717535,14694.9221176505,1497,1780,0.852853217721377,0.998001998001998,0.456543456543457,0.456543456543457,1,0.999000999000999,0.453546453546454,0.453546453546454,1,0.000999000999000999,0.522477522477522,0.522477522477522,0.000999000999000999,0.003996003996004,0.568431568431568,0.568431568431568,0.000999000999000999,0.996178382294447,0.00382161770555279,0.000485738469080151,0.996178382294447,0.00382161770555279,0.000485738469080151,0.995696348449937,0.00048388306058183,0.00381976848948105
"Crex crex",4818400.89120769,3335718.19515606,4852911.77416048,3392598.33154072,66530.8271203522,56880.1363846557,34510.8829527898,1086,1201,0.909069168451361,1,0.974025974025974,0.974025974025974,1,1,0.972027972027972,0.972027972027972,1,0.000999000999000999,0.016983016983017,0.016983016983017,0.000999000999000999,0.000999000999000999,0.037962037962038,0.037962037962038,0.000999000999000999,0.995105475712684,0.00489452428731552,0.0090839625272264,0.995105475712684,0.00489452428731552,0.0090839625272264,0.986109818955169,0.00903990278123326,0.00485027826359781
"Cyanistes caeruleus",4503205.49985352,3079160.33258149,4508178.52282179,3137009.26736448,58062.2959670873,57848.9347829903,4973.02296827361,1965,2041,0.964579617065519,1,0.380619380619381,0.380619380619381,1,1,0.383616383616384,0.383616383616384,1,0.000999000999000999,0.594405594405594,0.594405594405594,0.000999000999000999,0.000999000999000999,0.592407592407592,0.592407592407592,0.000999000999000999,0.99823076885036,0.00176923114964049,0.000309475964228374,0.99823076885036,0.00176923114964049,0.000309475964228374,0.997922386817598,0.000308928598861467,0.00176868458354037
"Cygnus olor",4518423.19747312,3271096.49480804,4559322.72998809,3187966.1538277,92646.7773398046,-83130.3409803421,40899.5325149735,1039,1413,0.849572039853536,0.998001998001998,0.834165834165834,0.834165834165834,1,0.999000999000999,0.836163836163836,0.836163836163836,1,0.002997002997003,0.150849150849151,0.150849150849151,0.001998001998002,0.000999000999000999,0.166833166833167,0.166833166833167,0.000999000999000999,0.958621334565134,0.0413786654348662,0,0.958760123207143,0.0412398767928572,0,0.958621334565134,0,0.0413786654348662
"Dendrocopos major",4534935.23381377,3158503.64963503,4509659.1498786,3149489.97889175,26835.1761567907,-9013.67074328475,-25276.0839351676,1900,1943,0.973870764602892,1,0.955044955044955,0.955044955044955,1,1,0.962037962037962,0.962037962037962,1,0.000999000999000999,0.0559440559440559,0.0559440559440559,0.000999000999000999,0.000999000999000999,0.050949050949051,0.050949050949051,0.000999000999000999,0.996679161239921,0.00332083876007937,0,0.996679161239921,0.00332083876007937,0,0.996679161239921,0,0.00332083876007937
"Emberiza caesia",5502825.83483317,1812868.47979942,5642052.20561531,1735671.48436956,159195.974900637,-77196.9954298679,139226.370782138,57,20,0.493182760170726,0.918081918081918,0.787212787212787,0.787212787212787,0.904095904095904,0.919080919080919,0.804195804195804,0.804195804195804,0.913086913086913,0.0849150849150849,0.205794205794206,0.205794205794206,0.100899100899101,0.0719280719280719,0.192807192807193,0.192807192807193,0.0809190809190809,0.980914851296665,0.0190851487033346,0.462089614034145,0.986336026342719,0.0136639736572813,0.462089614034145,0.532339010074076,0.457303547427812,0.0103574424981124
"Emberiza calandra",4392548.30027747,2697202.99564394,4486099.98006107,2674823.42422555,96191.2782283474,-22379.5714183883,93551.6797835967,1328,1331,0.933778847937448,1,0.589410589410589,0.589410589410589,1,1,0.608391608391608,0.608391608391608,1,0.000999000999000999,0.373626373626374,0.373626373626374,0.000999000999000999,0.000999000999000999,0.408591408591409,0.408591408591409,0.000999000999000999,0.999302388165813,0.000697611834186653,0.0015746770281645,0.999302388165813,0.000697611834186653,0.0015746770281645,0.99772990567058,0.00157358024343351,0.000696514085986791
"Emberiza cia",4139558.94831525,2237581.85087176,4098658.05697442,2279523.03228649,58582.8098586667,41941.1814147229,-40900.8913408252,497,485,0.938640466853659,1,0.949050949050949,0.949050949050949,1,1,0.956043956043956,0.956043956043956,1,0.000999000999000999,0.0649350649350649,0.0649350649350649,0.000999000999000999,0.000999000999000999,0.048951048951049,0.048951048951049,0.000999000999000999,0.980234847474586,0.019765152525414,0.00027161525536448,0.980234847474586,0.019765152525414,0.00027161525536448,0.97997386174246,0.000266248167771773,0.0197598900897684
"Emberiza cirlus",4047010.31881128,2291789.31317102,4068733.74872116,2300125.17387216,23267.8744340474,8335.86070114607,21723.4299098849,705,731,0.97405322305243,1,0.803196803196803,0.803196803196803,1,1,0.794205794205794,0.794205794205794,1,0.000999000999000999,0.195804195804196,0.195804195804196,0.000999000999000999,0.000999000999000999,0.185814185814186,0.185814185814186,0.000999000999000999,0.993317910326695,0.00668208967330523,0.000600248797318823,0.993317910326695,0.00668208967330523,0.000600248797318823,0.992725654185164,0.000596240272498667,0.00667810554233755
"Emberiza citrinella",4589961.57227879,3312956.96412789,4603691.50605313,3320693.87285961,15759.7854734943,7736.90873172088,13729.9337743334,1775,1719,0.966898911765461,1,1,1,1,1,1,1,1,0.000999000999000999,0.11988011988012,0.11988011988012,0.000999000999000999,0.001998001998002,0.13986013986014,0.13986013986014,0.001998001998002,1,0,0.0103288868343809,1,0,0.0103288868343809,0.989671113165619,0.0103288868343809,0
"Emberiza hortulana",4701938.21403065,3111200.9521671,4819399.29390919,3069035.51306166,124799.958097697,-42165.4391054399,117461.079878538,1081,812,0.900133859606781,1,0.989010989010989,0.989010989010989,1,1,0.985014985014985,0.985014985014985,1,0.000999000999000999,0.013986013986014,0.013986013986014,0.000999000999000999,0.002997002997003,0.018981018981019,0.018981018981019,0.000999000999000999,0.998329022170963,0.00167097782903722,0.00616225447313613,0.998329022170963,0.00167097782903722,0.00609705582344517,0.992187281231538,0.0061520208298353,0.00166069793862679
"Emberiza melanocephala",5351095.72351133,2076188.13971536,5296974.4415851,2213890.48621269,147956.241464191,137702.346497332,-54121.2819262324,131,164,0.785894374409758,0.982017982017982,0.922077922077922,0.922077922077922,1,0.979020979020979,0.904095904095904,0.904095904095904,1,0.00999000999000999,0.0859140859140859,0.0859140859140859,0.000999000999000999,0.013986013986014,0.0929070929070929,0.0929070929070929,0.000999000999000999,0.899882179271276,0.100117820728724,0.00206380400642061,0.899882179271276,0.100117820728724,0.00206380400642061,0.898210590293767,0.00185756426342674,0.0999318454428062
"Emberiza schoeniclus",4582810.61255147,3416261.65250064,4603615.5662812,3468618.36806852,56338.9009899149,52356.7155678752,20804.9537297264,1665,1606,0.962507700759911,1,1,1,1,1,1,1,1,0.000999000999000999,0.132867132867133,0.132867132867133,0.000999000999000999,0.000999000999000999,0.13986013986014,0.13986013986014,0.000999000999000999,1,0,0.00696046014856958,1,0,0.00696046014856958,0.99303953985143,0.00696046014856958,0
