"species","stability","niche_breadth_zcor","niche_breadth_Z"
"Locustella luscinioides",0.657424374847178,8.97360486714251,8.34541022404437
"Apus pallidus",0.654774086618128,8.8309815109525,8.33005383867823
"Cygnus olor",0.654077269886213,8.63319686717254,7.8788625286674
"Phoenicurus phoenicurus",0.651536236185105,8.56369502506766,7.72943538547812
"Oriolus oriolus",0.649528100108663,8.88806685475478,8.08360652196965
"Numenius phaeopus",0.647728089442648,8.64979915596426,7.77914453485966
"Locustella naevia",0.647645696051113,8.46315930292375,7.57096032954159
"Emberiza citrinella",0.644996530882332,8.57659353469768,7.67341357402895
"Sitta neumayer",0.639593873378795,8.91931939825889,8.38966926848377
"Otus scops",0.638926599744718,8.98168163997386,8.34129426337606
"Phasianus colchicus",0.633962074721725,8.72306850116393,7.92598504145856
"Emberiza hortulana",0.624787901836576,8.89795568688403,8.08320927595554
"Melanocorypha calandra",0.622464686786259,8.91247327446604,8.20697762999646
"Cettia cetti",0.621436662504715,8.96788657212747,8.36359895746824
"Acrocephalus arundinaceus",0.618569224057945,8.68321597524069,7.91396534949355
"Spinus spinus",0.611548552617896,8.46611040118692,7.68302129678276
"Regulus regulus",0.610535244198048,8.76280248744611,7.84251681452068
"Circus pygargus",0.602476689193931,8.70118002752925,7.99042844991747
"Turdus iliacus",0.601984353552033,8.3986348552921,7.56629173497098
"Poecile palustris",0.587282132699316,8.63887970967284,7.90354155450956
"Coracias garrulus",0.587225725775619,8.95234654322623,8.26094098268077
"Anthus trivialis",0.583662128078549,8.50228257868048,7.65391728801085
"Garrulus glandarius",0.577901198002291,8.62011072542292,7.91048251062192
"Remiz pendulinus",0.577358934958262,8.74735207762435,8.05790650113877
"Passer hispaniolensis",0.570481216214628,8.85237888651198,8.21293548455412
"Hieraaetus pennatus",0.568742134622426,8.96597318421035,8.35598446376362
"Rallus aquaticus",0.566373760134619,8.70167907103957,7.92732082057635
"Motacilla flava",0.566214082986081,8.526351129201,7.78466333154315
"Coccothraustes coccothraustes",0.563655193826071,8.79118193673602,8.0981256495441
"Luscinia luscinia",0.563505084301701,7.80016307039296,7.02978859264021
"Sturnus vulgaris",0.560822222699392,8.81507308884446,7.9421888662748
"Cinclus cinclus",0.560022121623939,8.7827830173932,8.23365775081745
"Perdix perdix",0.556852085259414,8.72988228482659,7.96502070861342
