"species","stability","niche_breadth_zcor","niche_breadth_Z"
"Calamospiza melanocorys",0.99777016066535,8.05356916913454,7.20866611745488
"Calcarius ornatus",0.998950560424266,7.87169266432365,7.17128524509613
"Callipepla californica",0.7119377339666,8.8209946457479,8.0328528498899
"Callipepla gambelii",0.758884294009413,8.13798045445214,7.24466314051162
"Callipepla squamata",0.804715612632939,7.49331724886215,6.66164302544912
"Calypte anna",0.993052744945697,8.81195017753998,8.27635531085882
"Campylorhynchus brunneicapillus",0.832853166909583,8.94845599234554,8.32236002481226
"Cardellina canadensis",0.796664079347346,8.81254577017224,8.23570506324528
"Cardellina pusilla",0.812629084664231,8.69584134284388,7.34206205810213
"Cardinalis cardinalis",0.883248498468192,8.1146238864201,7.08724492155608
"Cardinalis sinuatus",0.694823048263445,8.77446760144659,8.19542711762481
"Cathartes aura",0.692619910165862,8.36007143564403,7.16452640040778
"Catharus fuscescens",0.992313906898814,8.02780284837031,7.14850684960328
"Catharus guttatus",0.913044828259082,8.5650305208304,7.23771346235683
"Catharus ustulatus",0.667803683611481,8.78523362361273,8.44818619351273
"Catherpes mexicanus",0.818732035245411,8.06211758275474,7.03742167546856
"Centronyx henslowii",0.999440370400217,8.90109412160856,8.60907242678437
"Certhia americana",0.8089269152611,8.82128980513611,7.608369276988
"Chaetura pelagica",0.999017471568468,8.89604050162011,8.18305152599823
"Chaetura vauxi",0.452211246126432,9.05742226555147,8.51870277520163
"Chamaea fasciata",0.985353632399084,8.60300384782935,8.23542541502363
"Charadrius vociferus",0.923619885468171,8.29504914043511,6.80481640665286
"Chlidonias niger",0.995366832581879,7.90654723236804,6.6896277773758
"Chondestes grammacus",0.976760616706324,8.65032450401942,7.84858295784737
"Chordeiles acutipennis",0.208455172620379,8.4071550862073,7.53998540326291
"Chordeiles minor",0.917283322444327,8.46421426662535,6.87692348570009
"Cinclus mexicanus",0.708988026879964,8.88820487145502,7.81399284619773
"Circus hudsonius",0.939894683985637,8.3150770072941,6.64600721244561
"Cistothorus palustris",0.993959457374404,8.414717399827,7.42087874952408
"Coccothraustes vespertinus",0.908501079335838,8.48342956126343,7.39221981412924
"Coccyzus americanus",0.924757120189775,8.11312710422178,7.22266637965213
"Coccyzus erythropthalmus",0.996588900384256,8.85123390284603,8.21288868071943
"Colaptes auratus auratus",0.991878721898067,8.66319648553608,7.83986997017141
"Colaptes auratus cafer",0.791566175623327,8.72777821348305,7.53393441931023
"Colinus virginianus",0.873076030916032,8.16678428905615,7.23600911815609
"Columbina inca",0.557208775906695,8.63568708546403,7.7514946849075
"Columbina passerina",0.464603471060973,8.63337494570565,7.8721339670013
"Contopus cooperi",0.907612812318867,8.61395685984855,7.24883015069113
"Contopus sordidulus",0.779144543372593,8.7340771925593,7.41195214624359
"Contopus virens",0.996740555376753,8.77369414638444,8.2020418082789
"Coragyps atratus",0.369777904455266,8.36217546914963,7.28049292751056
"Corvus brachyrhynchos",0.99611429497846,8.26333266743997,7.05917366733077
"Corvus corax",0.914694379729325,8.33206770728955,6.45737594986306
"Corvus cryptoleucus",0.78208649098122,8.63710728808157,8.04193431520044
"Corvus ossifragus",0.997860077104932,8.90272766403552,8.39074219519792
"Cyanocitta cristata",0.999307121132287,8.87444796721998,8.18350589461323
"Cyanocitta stelleri",0.655561220265113,8.90923527919226,8.15496715484587
"Dolichonyx oryzivorus",0.987086876428006,8.10409905614358,7.42042200253629
"Dryobates pubescens",0.96337753166704,8.57979233317276,7.14053947527984
"Dryobates scalaris",0.559488533668208,8.54578064826815,7.62945690967095
"Dryobates villosus",0.913373574197665,8.63319686717254,7.12812066615368
"Dryocopus pileatus",0.978367679162937,8.20248244657654,6.9403420572754
"Dumetella carolinensis",0.997168798244792,8.06274790108635,7.22802319822657
"Egretta caerulea",0.326569058051033,8.39705739017626,7.5775047437171
"Egretta thula",0.58859099224649,8.19533366716287,7.15511669739159
"Empidonax alnorum",0.870529784673557,8.37124213593193,7.24001209589547
"Empidonax difficilis",0.734414414938941,8.41272116981953,7.7866841329189
"Empidonax hammondii",0.863546837132156,8.68101127664563,7.72407093225064
"Empidonax minimus",0.971460167310386,8.31678912707152,7.07666982542393
"Empidonax oberholseri",0.938734006341509,8.42398080969406,7.31162193828723
"Empidonax occidentalis",0.753860239530397,8.91274263473703,8.1229483172364
"Empidonax traillii",0.969910166172782,8.17470288246946,7.10722221412166
"Empidonax virescens",0.99907090739046,8.72550732848445,8.07100953114291
"Empidonax wrightii",0.99901349920145,8.34069464792507,7.43329388877388
"Eremophila alpestris",0.948418162358619,8.13300021858361,6.37859458750257
"Eudocimus albus",0.404988462367116,8.53836742664764,7.61791409214932
