"species","niche_breadth_zcor"
"Ptyonoprogne rupestris",6.64126545670658
"Pyrrhocorax graculus",6.55936886095752
"Pyrrhocorax pyrrhocorax",6.51176763554011
"Pyrrhula pyrrhula",6.2388743173796
"Rallus aquaticus",6.23324359646571
"Recurvirostra avosetta",6.39626804724754
"Regulus ignicapilla",5.2116000100595
"Regulus regulus",6.59287801963581
"Remiz pendulinus",5.42598132027108
"Riparia riparia",6.62868318378966
"Saxicola rubetra",6.02246920135782
"Saxicola torquatus",6.99825557961101
"Scolopax rusticola",6.42374420762682
"Serinus serinus",5.34589646921847
"Sitta europaea",6.61452836572813
"Sitta neumayer",5.52770651109115
"Somateria mollissima",6.26939885854186
"Spinus spinus",6.14337091114513
"Stercorarius longicaudus",5.90357472892587
"Stercorarius parasiticus",6.38615103115201
"Sterna hirundo",6.57908790680025
"Sterna paradisaea",6.60055734413133
"Sternula albifrons",7.07684527549238
"Streptopelia decaocto",6.84840971143239
"Streptopelia turtur",6.13126347990153
"Strix aluco",6.12708580924046
"Strix nebulosa",6.27612134475822
"Strix uralensis",6.01133696702172
"Sturnus unicolor",4.82601449730306
"Sturnus vulgaris",6.83339719413203
"Surnia ulula",6.33975394020878
"Sylvia atricapilla",5.91227388531179
"Sylvia borin",5.96227557646597
"Sylvia communis",6.29203046271104
"Sylvia conspicillata",4.97761050162636
"Sylvia curruca",6.35443656845516
"Sylvia hortensis",4.99737220245203
"Sylvia melanocephala",5.11091212143327
"Sylvia nisoria",5.8427276273269
"Sylvia ruppeli",4.52430772638839
"Sylvia undata",4.84665551255586
"Syrmaticus reevesii",4.75430371195014
"Tachybaptus ruficollis",7.3011296369007
"Tadorna ferruginea",6.45573257462931
"Tadorna tadorna",6.1205411383405
"Tetrao urogallus",6.05670837295631
"Tetrax tetrax",5.32566614069771
"Thalasseus sandvicensis",6.01262206042278
"Tichodroma muraria",6.60006922294673
"Tringa erythropus",4.90649784234899
"Tringa glareola",5.81170892322269
"Tringa nebularia",5.72850820924291
"Tringa ochropus",5.68680158687621
"Tringa stagnatilis",4.90434944426174
"Tringa totanus",6.56090460496004
"Troglodytes troglodytes",6.7453144630085
"Turdus iliacus",5.96962501523322
"Turdus philomelos",6.42822125004602
"Turdus pilaris",6.03633115338782
"Turdus torquatus",5.9461961147411
"Turdus viscivorus",6.3382379778554
"Tyto alba",7.44375466327774
"Upupa epops",7.15918276233939
"Vanellus vanellus",6.06487631958733
