"species","Mass","Hand.Wing.Index","Trophic.Level","Habitat.Density","Range.Size","Migration","Centroid.Latitude","Centroid.Longitude","niche_breadth_zcor","region","range_shift","range_D","range_stability_std","range_unfilling_std","range_expansion_std","niche_D","niche_stability_std","niche_unfilling_std","niche_expansion_std","phylo_species"
"Coccyzus erythropthalmus",50.9,40.8,3,1,4944717.14,3,43.59,-90.65,5.75797893161881,"US",65408.5529365637,0.810619690719717,0.962846987709819,0.0368102622793672,0.000342750010813964,0.747203953968354,0.898347291276023,0.0418197183729408,0.0464763225591117,"Coccyzus erythropthalmus"
"Colaptes auratus auratus",131.46,24.8,3,2,10804791.76,2,50.48,-99.78,6.42653357487819,"US",60620.9587887067,0.866250346881867,0.976007621567865,0.0239923784321346,0,0.826489089765449,0.951416600020551,0.00920871417312107,0.00759313152646797,"Colaptes auratus"
"Colaptes auratus cafer",131.46,24.5,3,2,6674670.23,2,48.09,-119.63,6.76446491728606,"US",34381.4788335817,0.934503740000656,0.962620764699608,0.0371514760549055,0.00022775924548619,0.67933301290521,0.889980758451767,0.0137945632530116,0.00393536591283004,"Colaptes auratus"
"Colinus virginianus",171.89,27.6,1,2,4364464.18,1,34.48,-91.61,6.00575077264697,"US",157014.134187163,0.895414468025135,0.956087769600703,0.0421517198882892,0.00176051051100766,0.816228107641775,0.926180039931111,0.0495958043177142,0.00413477401225829,"Colinus virginianus"
"Contopus cooperi",32.1,37.9,3,1,9652028.65,3,51.88,-110.87,6.72227982738503,"US",543956.19177419,0.762351351554015,0.80979421944107,0.17633685216984,0.0138689283890906,0.67895501121873,0.871506652734717,0.00803597522745361,0,"Contopus cooperi"
"Contopus sordidulus",13.1,33.5,3,1,6939803.44,3,45.91,-116.12,6.86427520494303,"US",46733.0473573036,0.920012928716668,0.954054410952652,0.0338418029706133,0.0121037860767347,0.644172063968503,0.848383715577718,0.0561482031534515,0.0120800001264046,"Contopus sordidulus"
"Contopus virens",13.9,31,3,1,4080253.15,3,40.17,-86.94,5.7845257744853,"US",30600.8526173525,0.95709710316053,0.992609926020224,0.00253357860690891,0.00485649537286763,0.797227142248167,0.933522340389825,0.0138976593585061,0.0311305971796957,"Contopus virens"
"Corvus corax",927.97,39.8,2,3,52288449.5,2,54.65,18.59,7.37564355248693,"US",457380.13589251,0.867757803406202,0.973953183668886,0.0183431168558829,0.00770369947523088,0.670543583628785,0.931067028010607,0.024760310981437,0.000815821186683672,"Corvus corax"
"Corvus ossifragus",284.6,36.3,2,3,970986.53,1,33.75,-84.16,5.07424275146637,"US",180073.893287063,0.779033005195648,0.841110174726901,0.00346423046093042,0.155425594812168,0.682050135233869,0.821846686586827,0.0877659817970244,0.0565012500103293,"Corvus ossifragus"
"Cyanocitta cristata",88,17.4,2,2,6665383.16,1,43.18,-90.29,6.1823602316687,"US",30222.3637700034,0.931732135730642,0.987990160609978,0.0108888883107642,0.00112095107925823,0.799140898652275,0.941523254396611,0.00899045364792873,0.0238545461798031,"Cyanocitta cristata"
"Cyanocitta stelleri",128,13.6,2,1,3560822.24,1,41.95,-116.24,6.75770043101553,"US",14451.8349519533,0.947003201367787,0.981093473989911,0.00634324612251935,0.0125632798875697,0.63790372688375,0.838217968720197,0.0156538200332577,0.0170357591806918,"Cyanocitta stelleri"
"Dolichonyx oryzivorus",31.46,35.4,2,1,3883605.76,3,45.77,-93.09,5.49487149199002,"US",27493.0245860124,0.899680634526333,0.978173054973159,0.0103961765458954,0.0114307684809457,0.767850291918256,0.850684041902092,0.0138093178946911,0.113147789437555,"Dolichonyx oryzivorus"
"Dryobates pubescens",25.55,27,3,2,12800223.82,1,48.23,-104.67,6.86563206234674,"US",24069.1082635226,0.929697969854843,0.989533301964152,0.00202205840038322,0.0084446396354646,0.813207261025134,0.958388537246262,0.00930533837400294,0.0201437824071395,"Picoides pubescens"
"Dryobates villosus",62.65,25.3,3,1,13332874.44,1,47.81,-105.59,6.96887919338609,"US",72819.0383063166,0.899049470467941,0.989059198145014,0.00568105978234497,0.00525974207264096,0.805268169141516,0.96896265318973,0.00515506792748893,0.00799177114744112,"Picoides villosus"
"Dryocopus pileatus",286.59,25.3,3,1,5925872.32,1,45.18,-93.77,6.37120784380759,"US",69681.3785919585,0.900105751683189,0.984535648210966,0.00757975520028754,0.00788459658874603,0.782706438511189,0.966608510270193,0.00136359489308397,0.0120394024262557,"Dryocopus pileatus"
"Dumetella carolinensis",35.3,18.6,2,1,6824562.12,3,42.61,-95.25,6.00824056520014,"US",38575.561232605,0.932109284806613,0.995673407700902,0.00137223321780728,0.00295435908129099,0.809206434365714,0.934659936759982,0.0248354657730511,0.0347596439165329,"Dumetella carolinensis"
"Empidonax difficilis",10.7,21.8,3,1,864986.35,3,49.1,-123.85,6.47243702402998,"US",22106.1166320915,0.919396443193096,0.974207739863332,0.00482642578992977,0.0209658343467388,0.577773617731572,0.731682888608448,0.000814652251013657,0.0622189961853647,"Empidonax difficilis"
"Empidonax hammondii",10.44,23.1,3,1,2762701.72,3,51.42,-125.11,6.51776242970991,"US",141127.199518522,0.75520965879918,0.83875700052961,0.0415737331651346,0.119669266305256,0.701728664473959,0.791279670474082,0.0444511258715633,0.0776353892741588,"Empidonax hammondii"
"Empidonax minimus",10,22.8,3,1,5753545.24,3,51.73,-102.26,5.76742739104811,"US",39131.1363782885,0.893262659973993,0.96645072622439,0.0290369736540088,0.00451230012160075,0.814075791313157,0.904497009584734,0.017609152429925,0.0535425003982899,"Empidonax minimus"
"Empidonax oberholseri",10.4,18.7,3,2,2680790.46,3,44.18,-116.17,5.96457607811879,"US",84418.5726883122,0.792099680678588,0.890874694532327,0.0403302848482583,0.0687950206194152,0.542989584276288,0.692001079517139,0.183146629006723,0.0694912366878792,"Empidonax oberholseri"
"Empidonax traillii",13.39,23.5,3,2,7301691.61,3,42.25,-103.28,6.24945232442578,"US",48107.2228657249,0.903204102581024,0.971687663343173,0.0281067975847481,0.000205539072078815,0.70307864887876,0.903310372982571,0.0272553429150331,0.0538589257630129,"Empidonax traillii"
"Empidonax virescens",12.6,27.5,3,2,3006134.68,3,36.73,-87.99,5.5093700302773,"US",32515.3366327247,0.930902982685831,0.984455223586646,0.0110583912310507,0.00448638518230323,0.67376883857357,0.87146432631724,0.0275949351223633,0.0818364019430734,"Empidonax virescens"
"Eremophila alpestris",33.33,38.6,2,3,35118904.89,3,53.86,4.61,7.15861223317593,"US",105020.848238005,0.89168678709046,0.980033822893054,0.0030604185124124,0.016905758594534,0.84680092806938,0.937551631003104,0.0164644231691194,0.0370464852024235,"Eremophila alpestris"
"Euphagus cyanocephalus",62.48,31.2,3,3,5280448.27,2,46.92,-110.63,5.92997644989503,"US",121809.020557268,0.890508042192353,0.961342568829692,0.0383233771749634,0.000334053995344134,0.660184762701987,0.893087882212406,0.0315387282414688,0,"Euphagus cyanocephalus"
"Falco sparverius",114.61,43.7,3,3,26638648.91,3,22.05,-87.91,7.43030811857082,"US",76791.2310199356,0.91406771937545,0.99658961413552,0.0030623550893068,0.000348030775173319,0.747529085111347,0.923905848028645,0.0156410654169851,0.0457746347053838,"Falco sparverius"
"Fulica americana",636.74,36.3,1,3,10934633.24,2,42.59,-104.08,6.73317497521798,"US",196278.220106076,0.807939530882539,0.914584858951873,0.0854151410481266,0,0.591313558189295,0.804938934856154,0.166667882226469,0,"Fulica americana"
"Gallinago delicata",112.94,46.5,3,3,11985774.53,3,54.89,-111.33,6.7039122204757,"US",217804.714284858,0.819950358793578,0.917548463702825,0.0389600430073635,0.0434914932898119,0.732921290440327,0.938222648947056,0.0296571024744645,0.00724289074450296,"Gallinago gallinago"
"Geococcyx californianus",376,6.5,3,2,3008009.53,1,30.77,-104.36,5.60194363156117,"US",295885.969235003,0.608856187791735,0.769858916679656,0.218513685943072,0.0116273973772714,0.725021331922806,0.740916374744942,0.083761652060007,0.154615516995775,"Geococcyx californianus"
"Geothlypis formosa",14,24.9,3,1,1970256.38,3,36.24,-86.53,5.02135278450404,"US",169796.660214332,0.842142617943984,0.947096305734221,0.0525015510641378,0.000402143201641366,0.710987538326164,0.856469716118978,0.0918844640623677,0.0342454947005547,"Oporornis formosus"
"Geothlypis philadelphia",11.74,25.3,3,1,2709565.27,3,49.89,-89.66,5.30905744908453,"US",124701.556486039,0.899028848939703,0.975362792966497,0,0.0246372070335028,0.685353705108875,0.799402115161561,0.00404611834242253,0.103114098086057,"Oporornis philadelphia"
"Geothlypis tolmiei",10.4,22.9,3,1,2622229.48,3,47.17,-118.73,6.51384787888604,"US",80445.8811648839,0.932216045050523,0.957407130416343,0.0307825037561237,0.0118103658275328,0.605953720023536,0.776220634180125,0,0.0778477471517574,"Oporornis tolmiei"
"Geothlypis trichas",9.54,16.1,3,1,12826786.25,3,44.7,-101.34,6.78891062149148,"US",47590.9427080849,0.938388603437297,0.989796458785777,0.00178299594250701,0.00842054527171591,0.787221694944769,0.962046324313425,0.00079453238402727,0.0213281681964622,"Geothlypis trichas"
"Haemorhous cassinii",26.5,28.8,1,2,1502229.58,1,43.11,-114.16,5.39366308411461,"US",67058.3592486878,0.855109983127826,0.935336648667304,0.0362919892421046,0.0283713620905917,0.347893171024302,0.541127326893729,0.409234362489915,0.00842455257526885,"Carpodacus cassinii"
"Haemorhous mexicanus",21.4,27.5,1,2,10299459.91,2,38.88,-100.57,6.36420022001773,"US",231777.319548025,0.6223471284484,0.669758167933095,0.0266235749356207,0.303618257131284,0.745444744510369,0.929618648158661,0.0165916978726462,0.0426057400520066,"Carpodacus mexicanus"
"Haemorhous purpureus",23.3,28.1,1,2,4534365.72,2,50.66,-99.96,6.33893766747219,"US",50786.2482939529,0.90903629735366,0.974207594731492,0.0257121725239905,8.02327445176786e-05,0.652839233742277,0.893842185183471,0.00208903029212047,0.00610524093143633,"Carpodacus purpureus"
"Helmitheros vermivorum",14.16,26.2,3,1,1754178.4,3,36.37,-85.71,4.9615580615589,"US",41543.3748968179,0.884472529978888,0.968041906772959,0.0237615855507565,0.00819650767628459,0.572358271662118,0.755285817111239,0.185840855918602,0.00615841177632253,"Helmitheros vermivorum"
"Hylocichla mustelina",50.09,26.9,2,1,3494414.7,3,40.05,-83.73,5.60132086983387,"US",35251.5553255663,0.939919321549493,0.986978333749742,0.00848842036207773,0.00453324588818054,0.774001959028655,0.917532479167141,0.0506096291250988,0.00587836935148487,"Hylocichla mustelina"
"Icteria virens",24.89,21.3,3,2,6188045.96,1,38.56,-103.26,6.02542129861587,"US",131622.228566538,0.833780359826893,0.964731793584585,0.018866149479295,0.0164020569361201,0.723528647829691,0.924063944336307,0.0229326148006843,0.0493803662115199,"Icteria virens"
"Icterus bullockii",37.9,26.3,3,2,3649427.51,3,38.26,-110.62,5.61300240869869,"US",90372.4294173588,0.90538761862396,0.957957303192709,0.0178452582833415,0.0241974385239496,0.625532909954419,0.773584503487163,0.199395222236759,0.000211058274553865,"Icterus bullockii"
"Icterus galbula",32.83,27.4,2,1,4604558.64,3,43.69,-91.8,5.7310844322948,"US",9622.11081964529,0.91166079455017,0.989767112731577,0.00749509444479079,0.00273779282363205,0.769428300399067,0.899784858865908,0.0399552223249507,0.0457364492383961,"Icterus galbula"
"Icterus spurius",19.44,26.9,3,2,4790205.22,3,36.74,-92.53,5.93075856341889,"US",94858.2883310988,0.864798626570347,0.94566068827373,0.000220660302424743,0.0541186514238451,0.758641869273841,0.93620967274383,0.000650710590615418,0.0418776194563828,"Icterus spurius"
"Junco hyemalis hyemalis",19.5,21.9,1,2,10167654.77,3,53.3,-109.7,6.7524164274457,"US",159408.132680287,0.751208439310524,0.854441768982618,0.144228771169756,0.0013294598476257,0.596935391757453,0.644774391055586,0.0875461542214042,0.0861154885448951,"Junco hyemalis"
"Junco hyemalis oreganus",19.5,21.9,1,2,10167654.77,3,53.3,-109.7,6.7524164274457,"US",48175.8301546202,0.929007765766947,0.962546381908197,0.0250182737287783,0.0124353443630245,0.694629143889201,0.876546772255312,0.00291564422904181,0.0168185497202689,"Junco hyemalis"
"Lanius ludovicianus",51.59,22.6,3,3,8852504.29,3,38.03,-101.11,6.20009539637079,"US",391337.074383575,0.741806713977666,0.966007880728366,0.0270677513586057,0.00692436791302863,0.679324458564944,0.911754390631775,0.016701479445388,0.0223409739728475,"Lanius ludovicianus"
"Larus delawarensis",516.31,56.2,3,3,5396423.36,2,50.01,-101.06,5.64597902142145,"US",209471.949492275,0.72629887785997,0.871725923962559,0.128274076037441,0,0.493822241824285,0.805861135938339,0.176005049295867,0,"Larus delawarensis"
"Leiothlypis celata",9.19,23,3,1,7482895.14,3,54.4,-116.99,6.65686424814159,"US",54249.6454475059,0.812316503641437,0.908575874866592,0.0896966568445517,0.00172746828885675,0.671942148628907,0.85832064638824,0,0.0297155997559514,"Vermivora celata"
"Leiothlypis ruficapilla",8.09,23.6,3,1,2772463.48,3,47.87,-88.86,5.45370341312001,"US",263491.293575638,0.837515381882347,0.934932178958099,0.0650678210419007,0,0.615693397718281,0.870770788932247,0.0315290086183482,0.0124730328157538,"Vermivora ruficapilla"
"Loxia curvirostra",38.29,37.6,1,1,22671334.66,2,52.38,24.37,7.0518079156336,"US",550867.70448012,0.724367079536145,0.842974415691398,0.0352260760728532,0.121799508235749,0.493816275584596,0.742027966042953,0.0279093052375536,0.117039819824596,"Loxia curvirostra"
"Mareca strepera",915.58,54.8,1,3,18552362.65,2,49.62,29.99,6.19064593054246,"US",117199.790871931,0.568316875053184,0.711773673122066,0,0.288226326877934,0.693726492293103,0.850769137195551,0.0551310530136398,0.0656137343356505,"Anas strepera"
"Megaceryle alcyon",148,33.6,3,3,13996585.38,2,50.37,-106.94,6.87386235741701,"US",78504.9463054969,0.842834861239123,0.976084399537434,0.0239156004625659,0,0.770057480589222,0.958278517805095,0.0102297985468809,0.0141012477655318,"Megaceryle alcyon"
"Megascops asio",179.99,28.8,3,2,4938942.17,1,38.29,-91.47,5.97495623890892,"US",59065.3269545629,0.713407216911354,0.828946966539429,0.0783357156108661,0.0927173178497049,0.477766055140554,0.582074209883264,0.203091105961396,0.147227726677367,"Megascops asio"
"Melanerpes carolinus",69.5,28.2,2,1,3074161.82,1,36.96,-88,5.52240712237865,"US",156372.375812857,0.816365039783712,0.950855338922391,0,0.0491446610776094,0.694749378961342,0.920151167486663,0.00027398542772321,0.0557132158171013,"Melanerpes carolinus"
"Melanerpes erythrocephalus",71.6,29.1,3,1,5461683.2,1,40.26,-93.26,5.88407874618207,"US",132694.167751891,0.825727153203766,0.94933780688576,0.0409006433482684,0.00976154976597134,0.751958157233658,0.911200885139996,0.0376422352339134,0.0314949782082654,"Melanerpes erythrocephalus"
"Meleagris gallopavo",5791.37,26,1,2,7259958.92,1,37.44,-98.2,6.24603960993899,"US",278081.310764382,0.61046133377289,0.888795592999781,0,0.111204407000219,0.535533233889288,0.845905990522794,0.0017775857923483,0.127577719118899,"Meleagris gallopavo"
"Melospiza georgiana",16.1,19.1,2,2,6032762.64,3,51.29,-92.76,5.76837697741068,"US",62220.1259909016,0.853912632098871,0.948854076094079,0.0126204078248576,0.0385255160810637,0.806407476653285,0.90890883864952,0.0191107719468659,0.050132081788877,"Melospiza georgiana"
"Melospiza melodia",21.91,20.1,2,2,10313728.38,2,47.88,-103.48,6.77893720058976,"US",30359.6569913487,0.944333587097138,0.998313091521399,0.00149258856488889,0.000194319913711976,0.797977280869722,0.94334070515313,0.0145483914680139,0.0209451504887448,"Melospiza melodia"
"Mimus polyglottos",48.5,20.6,2,2,10145517.51,3,37.86,-98.85,6.40429326136681,"US",36679.6906860719,0.928130119712981,0.986158405364556,0.000263436280415098,0.0135781583550293,0.778577867534994,0.944558060514814,0.0195782122732666,0.0134613522014515,"Mimus polyglottos"
"Mniotilta varia",10.9,25.5,3,1,5385503.08,3,48.07,-92.35,5.94802290804511,"US",72458.1626955393,0.872279824524853,0.9752535687821,0.020303666704225,0.00444276451367464,0.69973571100778,0.893802309745237,0.0285559206605278,0.0133324627193522,"Mniotilta varia"
"Myiarchus cinerascens",28.2,20.4,3,2,3499111.39,3,34.01,-109.65,5.62341570480376,"US",47346.4136250738,0.964535366768924,0.98429129844448,0.00369745424856138,0.0120112473069589,0.73003448575212,0.848567323804694,0.104420942299791,0.0203082310070927,"Myiarchus cinerascens"
"Myiarchus crinitus",32.1,21.4,2,1,5137539.15,3,40.77,-88.84,6.03662172622108,"US",35103.3762613625,0.959319731009796,0.995023439678265,0.00187452672112148,0.00310203360061382,0.818355564735372,0.947710577605529,0.0115816958822503,0.0161152557510986,"Myiarchus crinitus"
