"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","niche_stability_NA","niche_expansion_NA","niche_unfilling_NA","niche_stability_A","niche_expansion_A","niche_unfilling_A","niche_centroid_hist_X","niche_centroid_hist_Y","niche_centroid_rec_X","niche_centroid_rec_Y","niche_centroids_dist","niche_stability_std","niche_unfilling_std","niche_expansion_std","niche_abandonment_std","niche_pioneering_std"
"Oreortyx pictus",0.471547660562358,0.952047952047952,0.916083916083916,0.916083916083916,0.935064935064935,0.943056943056943,0.9000999000999,0.9000999000999,0.927072927072927,0.0579420579420579,0.0939060939060939,0.0939060939060939,0.0809190809190809,0.040959040959041,0.0579420579420579,0.0579420579420579,0.038961038961039,0.958235485440302,0.041764514559698,0.338216782540328,0.958235485440302,0.041764514559698,0.335159806683169,1.99815242674874,1.06284085444899,0.937486114480283,2.16813571355195,1.53189090719301,0.643230083282872,0.324265699536534,0.0280350629742744,0.00446915420631983,0
"Oreoscoptes montanus",0.804393821723573,0.997002997002997,0.997002997002997,0.997002997002997,0.994005994005994,0.996003996003996,0.995004995004995,0.995004995004995,0.994005994005994,0.003996003996004,0.003996003996004,0.003996003996004,0.00599400599400599,0.004995004995005,0.00599400599400599,0.00599400599400599,0.00599400599400599,0.977992170975982,0.0220078290240174,0.0651792085264861,0.977992170975982,0.0220078290240174,0.0651792085264861,-3.03913553804269,1.44342268890015,-3.29750146730131,1.63978025553863,0.324513863152036,0.915560744070225,0.0638363258505989,0.020602930079176,0,0
"Oxyura jamaicensis",0.64423022960383,0.994005994005994,0.997002997002997,0.997002997002997,0.992007992007992,0.999000999000999,0.999000999000999,0.999000999000999,0.999000999000999,0.002997002997003,0.002997002997003,0.002997002997003,0.00799200799200799,0.003996003996004,0.002997002997003,0.002997002997003,0.002997002997003,0.993236474558509,0.00676352544149079,0.128258805492914,0.993236474558509,0.00676352544149079,0.116204645567886,-4.06259721098675,-0.604309423300744,-3.51939051430956,0.880500187555397,1.58105442531423,0.8665969077132,0.11394333089219,0.00590116289823205,0.0135585984963776,0
"Pandion haliaetus",0.742301092275146,0.998001998001998,0.777222777222777,0.777222777222777,1,0.999000999000999,0.995004995004995,0.995004995004995,1,0.004995004995005,0.235764235764236,0.235764235764236,0.000999000999000999,0.003996003996004,0.002997002997003,0.002997002997003,0.000999000999000999,0.991871323691573,0.00812867630842656,0.0288315272271985,0.997748400038205,0.0022515999617955,0.0107037081135648,1.94289450983822,-0.815862898727897,0.963562290526029,-0.717846251578974,0.984225004204456,0.96349996654259,0.0104246043312626,0.00217431216905403,0.0181792644078705,0.00572185254922339
"Parkesia motacilla",0.789744933513455,0.994005994005994,0.98001998001998,0.98001998001998,0.979020979020979,0.991008991008991,0.978021978021978,0.978021978021978,0.979020979020979,0.00799200799200799,0.020979020979021,0.020979020979021,0.021978021978022,0.003996003996004,0.020979020979021,0.020979020979021,0.021978021978022,0.963685250604645,0.0363147493953554,0.0193073696147229,0.963812201941933,0.0361877980580675,0.0193073696147229,1.04588268950127,-0.943472844548603,1.56719584216753,-1.17319013270705,0.569681872295152,0.945742123075981,0.0186192820917469,0.035509329406626,0,0.000129265425646133
"Parkesia noveboracensis",0.764769412001046,0.99000999000999,0.994005994005994,0.994005994005994,0.984015984015984,0.993006993006993,0.997002997002997,0.997002997002997,0.996003996003996,0.013986013986014,0.00699300699300699,0.00699300699300699,0.010989010989011,0.020979020979021,0.00799200799200799,0.00799200799200799,0.004995004995005,0.961409912694878,0.0385900873051222,0.0426152257473453,0.961409912694878,0.0385900873051222,0.0401199562479136,-1.48446267165872,-2.24927005653498,-1.92801763194121,-2.05492821377467,0.48426207226942,0.921955391179429,0.0385348254684624,0.0370064200163221,0.00250336333578623,6.93889390390723e-18
"Passer domesticus",0.875079857253032,1,0.986013986013986,0.986013986013986,1,1,1,1,1,0.000999000999000999,0.015984015984016,0.015984015984016,0.001998001998002,0.001998001998002,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.995865930039513,0.00413406996048751,0.0076879504308785,0.996927557120853,0.00307244287914661,0.00410668716303086,-0.0247454877383408,-0.582764057506806,0.357999330041956,-0.628849746620173,0.38550938546127,0.988241170933224,0.0040751326254908,0.00304567220238372,0.00358127862053501,0.00105674561836645
"Passerculus sandwichensis",0.833796467649328,1,0.962037962037962,0.962037962037962,0.999000999000999,1,0.96003996003996,0.96003996003996,1,0.000999000999000999,0.031968031968032,0.031968031968032,0.003996003996004,0.002997002997003,0.030969030969031,0.030969030969031,0.000999000999000999,0.982221718968628,0.0177782810313721,0.0155047175656047,0.982568446162915,0.0174315538370854,0.0111368133332242,-1.91135644814357,-1.31756079254693,-1.90024177928495,-1.40507085589505,0.0882130775510534,0.967259270964268,0.0108935048759071,0.01715995676645,0.00433976447194589,0.000347502921429366
"Passerina amoena",0.65209328670019,0.997002997002997,1,1,0.997002997002997,0.998001998001998,1,1,0.999000999000999,0.002997002997003,0.000999000999000999,0.000999000999000999,0.002997002997003,0.003996003996004,0.001998001998002,0.001998001998002,0.000999000999000999,0.999952624460662,4.73755393377959e-05,0.124866487838414,0.999952624460662,4.73755393377959e-05,0.120734271164433,-2.4555241093421,0.813685473536028,-2.47026554037569,1.44429874516222,0.630785548455258,0.87509722897968,0.120161883573919,4.14601673937143e-05,0.00469942727900768,0
"Passerina caerulea",0.872199285296717,0.997002997002997,0.99000999000999,0.99000999000999,0.994005994005994,0.997002997002997,0.994005994005994,0.994005994005994,0.99000999000999,0.004995004995005,0.010989010989011,0.010989010989011,0.00999000999000999,0.003996003996004,0.00699300699300699,0.00699300699300699,0.015984015984016,0.992462948029109,0.00753705197089152,0.00378157269480086,0.993389086717796,0.00661091328220363,0.00370382824166783,1.84401692298577,0.284893851632201,1.76767426338884,0.280383925188848,0.0764757550525499,0.988738058167321,0.00367573021683781,0.00657996111368139,7.74475407650482e-05,0.00092880296139509
