"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","centroid_dist","centroid_NS_shift","centroid_EW_shift","n_cells_hist","n_cells_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","range_stability_NA","range_expansion_NA","range_unfilling_NA","range_stability_A","range_expansion_A","range_unfilling_A","range_stability_std","range_unfilling_std","range_expansion_std","range_abandonment_std","range_pioneering_std"
"Riparia riparia",4595716.75935406,3281251.05769854,4590289.77657014,3233456.37158615,48101.8103891949,-47794.686112382,-5426.98278391734,2037,2067,0.935763078673251,1,1,1,1,1,1,1,1,0.002997002997003,0.0849150849150849,0.0849150849150849,0.002997002997003,0.001998001998002,0.0689310689310689,0.0689310689310689,0.001998001998002,1,0,0.00700458657371849,1,0,0.00700458657371849,0.992995413426282,0.00700458657371849,0,0,0
"Saxicola rubetra",4690412.72902302,3348083.1567963,4771040.31414124,3384062.47394324,88291.1022943855,35979.317146943,80627.5851182295,1989,1894,0.934144747945212,1,1,1,1,1,1,1,1,0.000999000999000999,0.117882117882118,0.117882117882118,0.000999000999000999,0.002997002997003,0.111888111888112,0.111888111888112,0.002997002997003,1,0,0.0102017743132173,1,0,0.0102017743132173,0.989798225686783,0.0102017743132173,0,0,0
"Scolopax rusticola",4497027.88037197,3500176.10000556,4604412.66851803,3527870.76664927,110898.545011565,27694.666643715,107384.788146066,1571,1541,0.924961148326401,1,0.819180819180819,0.819180819180819,1,1,0.824175824175824,0.824175824175824,1,0.000999000999000999,0.203796203796204,0.203796203796204,0.000999000999000999,0.001998001998002,0.164835164835165,0.164835164835165,0.001998001998002,0.99758013897155,0.00241986102845051,0.000384811621378379,0.99758013897155,0.00241986102845051,0.000384811621378379,0.99719718712151,0.00038388078819871,0.00241893209029158,0,0
"Serinus serinus",4503517.9756311,2624842.53670169,4481854.86357311,2686181.96746924,65052.4111076945,61339.4307675525,-21663.1120579923,1642,1710,0.927721263832266,1,0.755244755244755,0.755244755244755,1,1,0.755244755244755,0.755244755244755,1,0.001998001998002,0.262737262737263,0.262737262737263,0.001998001998002,0.000999000999000999,0.271728271728272,0.271728271728272,0.000999000999000999,0.996102145539478,0.0038978544605217,0.00385257541747273,0.996102145539478,0.0038978544605217,0.00385257541747273,0.992279487741336,0.00383761626782984,0.00388289599083437,0,0
"Sitta europaea",4618646.74459749,2939695.60597724,4556879.731942,2964214.50214344,66455.5499683176,24518.8961662021,-61767.0126554826,1871,1989,0.930985294363404,1,0.839160839160839,0.839160839160839,1,1,0.847152847152847,0.847152847152847,1,0.000999000999000999,0.14985014985015,0.14985014985015,0.000999000999000999,0.001998001998002,0.160839160839161,0.160839160839161,0.001998001998002,0.995461286517154,0.00453871348284616,0.000423312564802059,0.995461286517154,0.00453871348284616,0.000423312564802059,0.995041807015094,0.000421392079974996,0.00453680090493121,0,0
"Sitta neumayer",5333244.90878505,1992537.0020121,5313122.10727717,2003326.75270239,22832.9993755577,10789.7506902863,-20122.8015078837,90,102,0.927482575843565,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.994920837201796,0.00507916279820402,0.0113933410052934,0.994920837201796,0.00507916279820402,0.0113933410052934,0.983642286865554,0.0113361283777737,0.00502158475667197,0,0
"Somateria mollissima",4215679.36675048,4419317.90027566,4219157.19115701,4338345.50803788,81047.0453953228,-80972.3922377797,3477.82440653164,376,398,0.93767188843085,1,0.848151848151848,0.848151848151848,1,1,0.824175824175824,0.824175824175824,1,0.001998001998002,0.182817182817183,0.182817182817183,0.001998001998002,0.000999000999000999,0.166833166833167,0.166833166833167,0.000999000999000999,0.986811808622786,0.0131881913772141,0.00562320516956531,0.986811808622786,0.0131881913772141,0.00562320516956531,0.981335539110416,0.00554945681083079,0.0131150040787532,0,0
"Spinus spinus",4608691.08895809,3554117.47704314,4552804.87973938,3584356.4693609,63542.6237830254,30238.9923177627,-55886.2092187097,1410,1491,0.937172272539792,1,0.887112887112887,0.887112887112887,1,1,0.881118881118881,0.881118881118881,1,0.000999000999000999,0.125874125874126,0.125874125874126,0.000999000999000999,0.000999000999000999,0.126873126873127,0.126873126873127,0.000999000999000999,0.997150055800155,0.00284994419984508,0.00146248302561219,0.997150055800155,0.00284994419984508,0.00146248302561219,0.995695890825069,0.00145832110887109,0.00284578806605935,0,0
"Sterna paradisaea",4359136.30693852,4511628.46053886,4374127.51065983,4524693.28625724,19885.3177008936,13064.8257183814,14991.2037213091,613,594,0.960696040674664,1,0.951048951048951,0.951048951048951,1,1,0.952047952047952,0.952047952047952,1,0.000999000999000999,0.045954045954046,0.045954045954046,0.000999000999000999,0.001998001998002,0.0539460539460539,0.0539460539460539,0.001998001998002,0.997867083184427,0.00213291681557298,0.000725728038840652,0.997867083184427,0.00213291681557298,0.000725728038840652,0.9971444465605,0.000724181242275921,0.00213137219722381,0,0
"Streptopelia decaocto",4625814.80337834,2997361.26242605,4548754.55241743,2884277.48165945,136843.793248455,-113083.780766596,-77060.2509609098,1965,2377,0.862407869325828,1,0.787212787212787,0.787212787212787,1,0.997002997002997,0.784215784215784,0.784215784215784,1,0.004995004995005,0.203796203796204,0.203796203796204,0.001998001998002,0.00699300699300699,0.196803196803197,0.196803196803197,0.000999000999000999,0.997674203878933,0.00232579612106685,0,0.997674203878933,0.00232579612106685,0,0.997674203878933,0,0.00232579612106685,0,0
"Streptopelia turtur",4582447.62485332,2724641.42329828,4636343.63024094,2690876.79358757,63598.9749622051,-33764.6297107064,53896.0053876173,1935,1938,0.9485917928286,1,1,1,1,1,1,1,1,0.000999000999000999,0.246753246753247,0.246753246753247,0.000999000999000999,0.001998001998002,0.217782217782218,0.217782217782218,0.001998001998002,1,0,0.00332432732191662,1,0,0.00332432732191662,0.996675672678083,0.00332432732191662,0,0,0
"Strix aluco",4559460.21039901,2966559.8990206,4539664.01618602,2959340.1185343,21071.6524171378,-7219.78048630059,-19796.1942129871,2023,2077,0.972878069474692,1,1,1,1,1,1,1,1,0.000999000999000999,0.207792207792208,0.207792207792208,0.000999000999000999,0.000999000999000999,0.176823176823177,0.176823176823177,0.000999000999000999,1,0,0.000951488851644841,1,0,0.000951488851644841,0.999048511148355,0.000951488851644841,0,0,0
"Sturnus unicolor",3286922.24111926,1997408.33072733,3330459.76271195,1994835.79103997,43613.4583228315,-2572.53968735924,43537.5215926943,290,322,0.949987107364782,1,0.972027972027972,0.972027972027972,1,1,0.968031968031968,0.968031968031968,1,0.001998001998002,0.020979020979021,0.020979020979021,0.001998001998002,0.000999000999000999,0.035964035964036,0.035964035964036,0.000999000999000999,0.982103322915501,0.017896677084499,0,0.982103322915501,0.017896677084499,0,0.982103322915501,0,0.017896677084499,0,0
"Sturnus vulgaris",4652535.38832008,3283087.1981783,4658920.91179383,3234263.58390282,49239.4173498678,-48823.6142754783,6385.52347374707,2230,2302,0.954529353146315,1,0.776223776223776,0.776223776223776,1,1,0.804195804195804,0.804195804195804,1,0.000999000999000999,0.203796203796204,0.203796203796204,0.000999000999000999,0.001998001998002,0.198801198801199,0.198801198801199,0.001998001998002,0.998649263706579,0.0013507362934206,3.93751541602183e-05,0.998649263706579,0.0013507362934206,3.93751541602183e-05,0.998609994849391,3.93219708017918e-05,0.00135068317980751,0,0
