"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","centroid_dist","centroid_NS_shift","centroid_EW_shift","n_routes_hist","n_routes_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","range_stability_NA","range_expansion_NA","range_unfilling_NA","range_stability_A","range_expansion_A","range_unfilling_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Poecile gambeli",-1785820.80192092,630735.551347956,-1735255.76036786,636500.248184682,50892.5844979621,5764.69683672604,50565.0415530617,31,26,0.928099292512205,1,0.999000999000999,0.999000999000999,1,1,0.997002997002997,0.997002997002997,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.992923554554054,0.00707644544594591,0.0125855626401314,0.992923554554054,0.00707644544594591,0.0125855626401314,0.98051437859893,0.0124976146433524,0.00698800675771777
"Polioptila caerulea",807891.205491834,65550.6584339358,724746.65548968,98208.298343257,89328.2577883816,32657.6399093212,-83144.550002154,216,293,0.843043182317899,0.994005994005994,0.988011988011988,0.988011988011988,1,0.992007992007992,0.979020979020979,0.979020979020979,1,0.00699300699300699,0.010989010989011,0.010989010989011,0.000999000999000999,0.00599400599400599,0.016983016983017,0.016983016983017,0.000999000999000999,0.99104138962799,0.00895861037201014,0.00668802570669822,0.99104138962799,0.00895861037201014,0.00668802570669822,0.984472264403475,0.00662850744001773,0.00889922815650705
"Pooecetes gramineus",418622.250528985,642998.90833953,191151.269306481,671882.992713212,229297.487182993,28884.0843736816,-227470.981222504,207,152,0.769747218966005,0.992007992007992,1,1,1,0.995004995004995,1,1,1,0.00799200799200799,0.15984015984016,0.15984015984016,0.001998001998002,0.00599400599400599,0.146853146853147,0.146853146853147,0.001998001998002,1,0,0.0717594067099856,1,0,0.0717594067099856,0.928240593290014,0.0717594067099856,0
"Porzana carolina",-365252.146711688,936002.398884068,-515677.129196959,979301.131726649,156532.60242348,43298.7328425816,-150424.982485271,41,38,0.861511714664354,1,1,1,0.995004995004995,1,1,1,0.995004995004995,0.000999000999000999,0.004995004995005,0.004995004995005,0.00599400599400599,0.000999000999000999,0.00999000999000999,0.00999000999000999,0.00599400599400599,1,0,0.0941483078932635,1,0,0.0941483078932635,0.905851692106737,0.0941483078932635,0
"Progne subis",670629.758958687,180564.777144289,629225.559067831,34694.0010429511,151633.080457428,-145870.776101338,-41404.1998908569,308,236,0.795416856900559,0.996003996003996,0.982017982017982,0.982017982017982,1,0.999000999000999,0.984015984015984,0.984015984015984,1,0.003996003996004,0.012987012987013,0.012987012987013,0.000999000999000999,0.00599400599400599,0.015984015984016,0.015984015984016,0.002997002997003,0.99869990370127,0.00130009629872975,0.0365187468312439,0.99869990370127,0.00130009629872975,0.0365187468312439,0.962274321509683,0.0364730006046771,0.00125267788564004
"Protonotaria citrea",914146.915091221,-254474.071434457,862894.740815867,-99649.1709034772,163087.507775363,154824.90053098,-51252.1742753538,58,60,0.731673201001023,0.979020979020979,0.889110889110889,0.889110889110889,1,0.977022977022977,0.89010989010989,0.89010989010989,0.995004995004995,0.025974025974026,0.133866133866134,0.133866133866134,0.004995004995005,0.023976023976024,0.115884115884116,0.115884115884116,0.001998001998002,0.971837011152251,0.0281629888477486,0.0346770017183051,0.971837011152251,0.0281629888477486,0.0346770017183051,0.939053704819062,0.0337333379537788,0.027212957227159
"Psaltriparus minimus",-2009094.72533736,340261.751405599,-1900595.36248867,215989.302682422,164971.977166511,-124272.448723177,108499.362848697,28,24,0.723314668868357,0.998001998001998,0.996003996003996,0.996003996003996,1,1,0.998001998001998,0.998001998001998,1,0.002997002997003,0.004995004995005,0.004995004995005,0.001998001998002,0.000999000999000999,0.002997002997003,0.002997002997003,0.000999000999000999,0.826463722007947,0.173536277992053,0.0104072575801609,0.826463722007947,0.173536277992053,0.0104072575801609,0.81934226340644,0.00861678306242588,0.172040953531135
"Quiscalus mexicanus",-350811.930596786,-489859.061929522,-518275.128116849,-311926.890372176,244343.56999675,177932.171557347,-167463.197520064,27,38,0.532720292752751,0.986013986013986,0.983016983016983,0.983016983016983,1,0.983016983016983,0.986013986013986,0.986013986013986,1,0.026973026973027,0.023976023976024,0.023976023976024,0.013986013986014,0.024975024975025,0.024975024975025,0.024975024975025,0.00999000999000999,0.639908260976889,0.360091739023111,0,0.639908260976889,0.360091739023111,0,0.639908260976889,0,0.360091739023111
"Quiscalus quiscula",778416.747051317,317684.706278268,774467.696011446,326970.886300816,10090.9931883183,9286.18002254859,-3949.05103987083,451,440,0.962828494605121,1,0.98001998001998,0.98001998001998,1,1,0.973026973026973,0.973026973026973,1,0.000999000999000999,0.025974025974026,0.025974025974026,0.000999000999000999,0.000999000999000999,0.035964035964036,0.035964035964036,0.000999000999000999,0.996067387100291,0.00393261289970874,0.000794343748625521,0.996067387100291,0.00393261289970874,0.000794343748625521,0.995279276297795,0.000791222373810094,0.00392950132839496
"Regulus calendula",-417741.339002846,898340.755897758,-242447.427544401,916404.848239661,176222.208664339,18064.0923419032,175293.911458445,24,18,0.873730358390399,1,0.998001998001998,0.998001998001998,1,0.996003996003996,0.993006993006993,0.993006993006993,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.003996003996004,0.00599400599400599,0.00599400599400599,0.000999000999000999,0.997507996496028,0.00249200350397163,0.0902649093944362,0.997507996496028,0.00249200350397163,0.0902649093944362,0.907672199783765,0.0900602271137996,0.00226757310243556
"Regulus satrapa",-781663.461717008,907625.005397589,-76773.7298386626,893508.411366034,705031.071892989,-14116.5940315551,704889.731878345,29,43,0.554715762481386,0.974025974025974,0.901098901098901,0.901098901098901,1,0.975024975024975,0.892107892107892,0.892107892107892,1,0.030969030969031,0.130869130869131,0.130869130869131,0.000999000999000999,0.035964035964036,0.123876123876124,0.123876123876124,0.000999000999000999,0.811151259181941,0.188848740818059,0.217544251775165,0.811151259181941,0.188848740818059,0.217544251775165,0.661882037382671,0.184021438800218,0.15409652381711
