species,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,niche_stability_NA,niche_expansion_NA,niche_unfilling_NA,niche_stability_A,niche_expansion_A,niche_unfilling_A,niche_centroid_hist_X,niche_centroid_hist_Y,niche_centroid_rec_X,niche_centroid_rec_Y,niche_centroids_dist,niche_stability_std,niche_unfilling_std,niche_expansion_std,niche_abandonment_std,niche_pioneering_std
Columba palumbus,0.895362837,1,0.989010989,0.989010989,0.99000999,1,1,1,0.996003996,0.001998002,0.014985015,0.014985015,0.014985015,0.001998002,0.000999001,0.000999001,0.003996004,0.995657173,0.004342827,0.003584921,0.996366426,0.003633574,0.002990784,-0.09654744,-0.635108611,-0.325190115,-0.434139106,0.30441126,0.992103266,0.002976067,0.003618027,0.000593341,0.000709298
Coracias garrulus,0.678115565,0.997002997,0.998001998,0.998001998,0.995004995,0.997002997,0.998001998,0.998001998,0.997002997,0.005994006,0.001998002,0.001998002,0.003996004,0.007992008,0.004995005,0.004995005,0.007992008,0.985107563,0.014892437,0.025649292,0.985107563,0.014892437,0.025349692,-1.425742372,-1.317200199,-2.051300232,0.229217776,1.668152029,0.960207032,0.024974036,0.014516001,0.00030293,1.73E-18
Coturnix coturnix,0.803928361,0.999000999,0.992007992,0.992007992,1,0.998001998,0.989010989,0.989010989,1,0.003996004,0.012987013,0.012987013,0.001998002,0.002997003,0.011988012,0.011988012,0.000999001,0.991094909,0.008905091,0.0030478,0.991364567,0.008635433,0.002995203,-0.624407983,-0.246539155,-0.488917773,-0.393662162,0.20000694,0.988101068,0.002968454,0.008607006,5.23E-05,0.000271185
Crex crex,0.76596918,1,0.987012987,0.987012987,0.974025974,1,0.996003996,0.996003996,0.985014985,0.002997003,0.016983017,0.016983017,0.025974026,0.001998002,0.003996004,0.003996004,0.014985015,0.994639265,0.005360735,0.012610618,0.994911251,0.005088749,0.012573673,-0.100136437,-1.49492444,-0.260681456,-1.21572621,0.322065762,0.982162645,0.012506646,0.005023543,3.72E-05,0.000269949
Cyanistes caeruleus,0.888896561,1,0.993006993,0.993006993,0.994005994,1,1,1,0.998001998,0.003996004,0.007992008,0.007992008,0.006993007,0.002997003,0.000999001,0.000999001,0.001998002,0.997115481,0.002884519,0.003591661,0.99775186,0.00224814,0.003366983,-0.197790038,-0.580121283,-0.351114998,-0.377819416,0.253839691,0.993544474,0.003356549,0.00223866,0.000224789,0.000635528
Cygnus olor,0.723667746,0.999000999,0.984015984,0.984015984,0.99000999,0.995004995,0.987012987,0.987012987,0.997002997,0.006993007,0.022977023,0.022977023,0.012987013,0.007992008,0.014985015,0.014985015,0.016983017,0.969103736,0.030896264,0.000770179,0.969893389,0.030106611,0.000770179,-0.014521462,-0.848647812,-0.411827954,-0.625059016,0.455899549,0.968380396,0.000746401,0.030059645,1.08E-19,0.000813558
Dendrocopos major,0.863785707,1,0.997002997,0.997002997,0.99000999,1,1,1,0.993006993,0.002997003,0.012987013,0.012987013,0.021978022,0.001998002,0.000999001,0.000999001,0.005994006,0.995874249,0.004125751,0.007260946,0.996506437,0.003493563,0.006450534,-0.130156288,-0.830272929,-0.339695052,-0.524567493,0.370624213,0.988672877,0.006418874,0.0034661,0.000812332,0.000629817
Emberiza caesia,0.583051703,1,0.966033966,0.966033966,0.981018981,0.999000999,0.972027972,0.972027972,0.993006993,0.001998002,0.028971029,0.028971029,0.010989011,0.000999001,0.040959041,0.040959041,0.014985015,0.998102743,0.001897257,0.410736754,0.998102743,0.001897257,0.410736754,-3.463657235,2.354699557,-4.413759276,3.556406419,1.531924695,0.588603945,0.410277199,0.001118856,0,0
Emberiza calandra,0.866384822,1,0.979020979,0.979020979,0.997002997,1,0.982017982,0.982017982,0.999000999,0.001998002,0.01998002,0.01998002,0.003996004,0.003996004,0.023976024,0.023976024,0.003996004,0.991691632,0.008308368,0.003325109,0.991691632,0.008308368,0.003325109,-0.782497053,0.164024923,-0.912762176,0.154680018,0.130599884,0.988421456,0.003297574,0.00828097,0,0
Emberiza cia,0.842957103,1,0.997002997,0.997002997,0.999000999,1,0.992007992,0.992007992,0.996003996,0.001998002,0.011988012,0.011988012,0.004995005,0.000999001,0.00999001,0.00999001,0.000999001,0.991744043,0.008255957,0.009494301,0.991744043,0.008255957,0.009351205,-1.164273887,0.920164143,-0.80023383,0.989418961,0.370569013,0.982405132,0.009273389,0.008178213,0.000143266,0
Emberiza cirlus,0.885381012,1,0.996003996,0.996003996,0.997002997,1,0.995004995,0.995004995,0.999000999,0.002997003,0.008991009,0.008991009,0.002997003,0.002997003,0.011988012,0.011988012,0.003996004,0.99261951,0.00738049,0.006585388,0.99261951,0.00738049,0.006585388,-1.211347725,1.243644615,-1.051486296,1.342987568,0.188214502,0.986130655,0.006537102,0.007332243,0,0
Emberiza citrinella,0.860982524,0.999000999,0.993006993,0.993006993,0.978021978,0.998001998,1,1,0.985014985,0.001998002,0.011988012,0.011988012,0.031968032,0.006993007,0.000999001,0.000999001,0.028971029,0.998032297,0.001967703,0.011528308,0.998504945,0.001495055,0.010582533,0.141704981,-1.042285342,-0.139172345,-0.817402924,0.359811304,0.986549052,0.010551853,0.001477153,0.000954032,0.00046791
Emberiza hortulana,0.760721428,0.983016983,0.973026973,0.973026973,0.941058941,0.988011988,0.973026973,0.973026973,0.94005994,0.010989011,0.020979021,0.020979021,0.068931069,0.007992008,0.017982018,0.017982018,0.03996004,0.99792725,0.00207275,0.028830816,0.99792725,0.00207275,0.028136128,-0.408251551,-1.3386482,-0.79292342,-1.216075114,0.403728384,0.969214113,0.028059415,0.002013111,0.000713361,0
Emberiza melanocephala,0.751860402,0.998001998,0.954045954,0.954045954,0.994005994,0.996003996,0.95004995,0.95004995,0.992007992,0.004995005,0.051948052,0.051948052,0.012987013,0.004995005,0.04995005,0.04995005,0.010989011,0.94716555,0.05283445,0.004411364,0.94716555,0.05283445,0.004411364,-2.485326766,1.182850387,-1.837346334,0.608881776,0.865631912,0.943207093,0.004179266,0.05261364,0,0
Emberiza schoeniclus,0.855000557,1,0.987012987,0.987012987,0.987012987,1,1,1,1,0.003996004,0.026973027,0.026973027,0.022977023,0.001998002,0.000999001,0.000999001,0.000999001,0.99706975,0.00293025,0.010720902,0.998037387,0.001962613,0.009177497,0.147166859,-1.15681003,-0.108672541,-0.95028131,0.328797674,0.98641125,0.009136638,0.001939751,0.001553185,0.000959176
Erithacus rubecula,0.898910562,1,0.993006993,0.993006993,0.987012987,1,1,1,0.995004995,0.004995005,0.005994006,0.005994006,0.014985015,0.001998002,0.000999001,0.000999001,0.007992008,0.996060064,0.003939936,0.005592156,0.996693519,0.003306481,0.00464447,-0.050684644,-0.658544567,-0.304987423,-0.431966688,0.340598648,0.990511765,0.004621869,0.003285973,0.000948377,0.000632016
Falco columbarius,0.765546517,0.999000999,0.965034965,0.965034965,1,0.996003996,0.995004995,0.995004995,1,0.004995005,0.028971029,0.028971029,0.000999001,0.003996004,0.011988012,0.011988012,0.000999001,0.987609226,0.012390774,0.023824385,0.991656252,0.008343748,0.000615561,2.076629722,-2.202203829,1.863140976,-1.978069932,0.309537476,0.964364726,0.000593991,0.008114119,0.02294214,0.003985024
Ficedula albicollis,0.764508213,0.99000999,0.98001998,0.98001998,0.981018981,0.989010989,0.977022977,0.977022977,0.98001998,0.014985015,0.02997003,0.02997003,0.021978022,0.017982018,0.040959041,0.040959041,0.027972028,0.976909521,0.023090479,0.01330508,0.976909521,0.023090479,0.01330508,-0.580647932,-1.497540929,-0.837180506,-1.300659055,0.323375067,0.964207887,0.013001854,0.02279026,0,0
Ficedula hypoleuca,0.852125857,1,1,1,0.995004995,1,1,1,1,0.001998002,0.001998002,0.001998002,0.010989011,0.000999001,0.000999001,0.000999001,0.000999001,0.994632989,0.005367011,0.007866159,0.995886254,0.004113746,0.006182706,0.316783145,-1.416170663,0.025124741,-1.1809505,0.374690739,0.98685071,0.006139365,0.004076423,0.001684906,0.001248595
Ficedula parva,0.757958433,0.994005994,0.99000999,0.99000999,0.954045954,0.994005994,0.986013986,0.986013986,0.955044955,0.005994006,0.007992008,0.007992008,0.036963037,0.004995005,0.012987013,0.012987013,0.04995005,0.96884653,0.03115347,0.010965491,0.96884653,0.03115347,0.010965491,-0.203565257,-1.707736732,-0.303582891,-1.549667152,0.187054856,0.958550106,0.010627508,0.030822386,0,0
Ficedula semitorquata,0.615898357,0.935064935,0.954045954,0.954045954,0.958041958,0.925074925,0.94005994,0.94005994,0.943056943,0.076923077,0.053946054,0.053946054,0.058941059,0.080919081,0.05994006,0.05994006,0.054945055,0.966941161,0.033058839,0.19690661,0.966941161,0.033058839,0.19690661,-2.105871462,-0.289189543,-1.568487466,-0.310455498,0.537804611,0.781632092,0.191644617,0.02672329,0,0
Fringilla montifringilla,0.781055686,1,0.997002997,0.997002997,0.999000999,1,1,1,1,0.000999001,0.000999001,0.000999001,0.003996004,0.002997003,0.000999001,0.000999001,0.000999001,0.990091984,0.009908016,0.038595021,0.992531528,0.007468472,0.021714025,1.793907445,-2.344388016,1.752948561,-2.273226776,0.082106957,0.952243501,0.021135987,0.007165318,0.017091252,0.002363942
Gallinago gallinago,0.879336551,1,0.992007992,0.992007992,0.998001998,1,1,1,1,0.006993007,0.015984016,0.015984016,0.007992008,0.002997003,0.000999001,0.000999001,0.000999001,0.994278874,0.005721126,0.004096174,0.99587867,0.00412133,0.001930743,0.337828779,-1.371699932,0.046698153,-1.186760855,0.344905065,0.990229341,0.001915577,0.00409795,0.002157258,0.001599875
Garrulus glandarius,0.880628073,1,0.986013986,0.986013986,0.995004995,1,1,1,0.997002997,0.003996004,0.01998002,0.01998002,0.014985015,0.003996004,0.000999001,0.000999001,0.004995005,0.996539303,0.003460697,0.004683166,0.997144357,0.002855643,0.004052211,-0.18915415,-0.658544567,-0.384093341,-0.444833403,0.289264152,0.99188842,0.004035694,0.002840591,0.00063134,0.000603955
Haematopus ostralegus,0.79265508,1,0.955044955,0.955044955,0.981018981,0.994005994,1,1,1,0.004995005,0.044955045,0.044955045,0.020979021,0.006993007,0.000999001,0.000999001,0.000999001,0.976847236,0.023152764,0.00060723,0.97969328,0.02030672,0.000168921,0.500294189,0.218983256,0.214152286,-0.113777818,0.438870278,0.97626779,0.00016494,0.020235718,0.000428239,0.002903313
