"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","Eucl_distance","NS_shift","EW_shift","shift_direction","n_cells_hist","n_cells_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","rS_NA","rE_NA","rU_NA","rS_A","rE_A","rU_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Erithacus rubecula",4506176.07103875,3180501.40363978,4479114.5662439,3177857.28201653,27190.3736811433,-2644.12162324646,-27061.50479485,-93.4758482667593,2016,2024,0.986062228373646,1,0.6003996003996,0.6003996003996,1,1,0.602397602397602,0.602397602397602,1,0.001998001998002,0.394605394605395,0.394605394605395,0.001998001998002,0.001998001998002,0.415584415584416,0.415584415584416,0.001998001998002,0.999898487432982,0.000101512567017962,9.94441033336608e-05,0.999898487432982,0.000101512567017962,9.94441033336608e-05,0.999799063517272,9.94340095112257e-05,0.000101502473216408
"Ficedula albicollis",5051591.8000892,2918457.6202482,5158629.18134233,2931381.77062266,107814.816460576,12924.15037446,107037.381253121,90.9320733353426,381,469,0.878066262601607,1,1,1,1,1,0.998001998001998,0.998001998001998,1,0.000999000999000999,0.002997002997003,0.002997002997003,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,0.000999000999000999,0.999424343388025,0.000575656611975022,0.0146136648735344,0.999424343388025,0.000575656611975022,0.0146136648735344,0.984827375781125,0.0146053752877552,0.000567248931120249
"Ficedula hypoleuca",4639275.69082714,3567216.11479225,4658436.66237262,3623486.40637565,59443.1538988934,56270.2915834016,19160.9715454746,22.8492248394432,1308,1224,0.949152222796894,1,0.96003996003996,0.96003996003996,1,1,0.957042957042957,0.957042957042957,1,0.000999000999000999,0.048951048951049,0.048951048951049,0.000999000999000999,0.001998001998002,0.047952047952048,0.047952047952048,0.001998001998002,0.999818631678493,0.000181368321507038,0.00631876303088194,0.999818631678493,0.000181368321507038,0.00631876303088194,0.993502153247816,0.00631762424758253,0.000180222504601341
"Ficedula parva",5056738.59019471,3424950.72309257,5035368.83117777,3528798.66196501,106023.869993967,103847.938872447,-21369.7590169376,-2.71991070794963,670,743,0.903567711475598,1,0.966033966033966,0.966033966033966,1,1,0.953046953046953,0.953046953046953,1,0.001998001998002,0.040959040959041,0.040959040959041,0.000999000999000999,0.000999000999000999,0.040959040959041,0.040959040959041,0.000999000999000999,0.987340855076361,0.0126591449236387,0.00172493389259817,0.987340855076361,0.0126591449236387,0.00172493389259817,0.985659280413373,0.00170313489444204,0.0126375846921855
"Ficedula semitorquata",5483143.83093401,2152320.57311605,5573824.86101223,2256101.45109858,137816.979544876,103780.877982532,90681.0300782239,51.4606061809823,49,46,0.653034374011695,0.998001998001998,1,1,0.999000999000999,0.998001998001998,1,1,0.998001998001998,0.001998001998002,0.002997002997003,0.002997002997003,0.001998001998002,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,0,0.238496444212347,1,0,0.238496444212347,0.761503555787653,0.238496444212347,0
"Garrulus glandarius",4523152.10711438,3105570.36395611,4524451.79467937,3112173.21545648,6729.54944275743,6602.85150036961,1299.68756498769,13.3860049576466,1972,1953,0.987402824215616,1,0.905094905094905,0.905094905094905,1,1,0.893106893106893,0.893106893106893,1,0.000999000999000999,0.0889110889110889,0.0889110889110889,0.000999000999000999,0.001998001998002,0.0939060939060939,0.0939060939060939,0.001998001998002,0.999624746348953,0.000375253651046943,0.000188659211678917,0.999624746348953,0.000375253651046943,0.000188659211678917,0.999436228687478,0.00018858842997206,0.000375182882550051
"Hieraaetus pennatus",4275702.8861826,2366988.73933373,4163388.81102234,2348042.71363424,113900.848850702,-18946.0256994935,-112314.07516026,-100.096957783257,354,413,0.907450083716917,1,0.899100899100899,0.899100899100899,1,1,0.898101898101898,0.898101898101898,1,0.000999000999000999,0.122877122877123,0.122877122877123,0.000999000999000999,0.000999000999000999,0.0909090909090909,0.0909090909090909,0.000999000999000999,0.993015309397602,0.00698469060239845,0.0126611053502488,0.993015309397602,0.00698469060239845,0.0126611053502488,0.980529349988879,0.0125737833954411,0.00689686661567972
"Hippolais icterina",4850145.05389221,3501467.49234466,4859013.4390088,3509694.8391536,12097.0033516887,8227.34680894203,8868.38511659019,53.6982997922764,1158,1148,0.971178053747648,1,0.972027972027972,0.972027972027972,1,1,0.961038961038961,0.961038961038961,1,0.000999000999000999,0.030969030969031,0.030969030969031,0.000999000999000999,0.000999000999000999,0.038961038961039,0.038961038961039,0.000999000999000999,0.997846507751295,0.00215349224870522,0.00509282578152322,0.997846507751295,0.00215349224870522,0.00509282578152322,0.992775537458173,0.00508191415586503,0.00214254838596198
"Hippolais olivetorum",5480425.40831683,1923282.32429829,5470811.30333022,2035736.70913065,112864.607750692,112454.384832358,-9614.10498660523,4.38285465891623,60,62,0.809312037304284,0.999000999000999,0.995004995004995,0.995004995004995,1,0.999000999000999,0.993006993006993,0.993006993006993,1,0.002997002997003,0.013986013986014,0.013986013986014,0.000999000999000999,0.001998001998002,0.00699300699300699,0.00699300699300699,0.001998001998002,0.949126810001225,0.0508731899987753,0.0156522320760513,0.949126810001225,0.0508731899987753,0.0156522320760513,0.935015389999066,0.0148677920099431,0.0501168179909912
"Hippolais polyglotta",3688698.15157536,2372996.60132898,3726066.92918548,2434047.73629726,71579.7919876106,61051.1349682803,37368.7776101176,25.6193161463433,530,585,0.927140232078205,1,0.911088911088911,0.911088911088911,1,1,0.924075924075924,0.924075924075924,1,0.001998001998002,0.0739260739260739,0.0739260739260739,0.001998001998002,0.000999000999000999,0.0629370629370629,0.0629370629370629,0.000999000999000999,0.979591324107404,0.0204086758925962,0.000341648268209925,0.979591324107404,0.0204086758925962,0.000341648268209925,0.979263476429493,0.000334678013006919,0.0204018455575003
"Lanius collurio",4716047.8210781,3114867.81222641,4679287.97953981,3102833.8305746,38679.486350209,-12033.9816518109,-36759.8415382858,-103.703161130512,1609,1625,0.971296629086753,1,0.673326673326673,0.673326673326673,1,1,0.665334665334665,0.665334665334665,1,0.000999000999000999,0.30969030969031,0.30969030969031,0.000999000999000999,0.001998001998002,0.334665334665335,0.334665334665335,0.001998001998002,0.996781951294726,0.00321804870527364,1.85693428756409e-05,0.996781951294726,0.00321804870527364,1.85693428756409e-05,0.996763501272547,1.85095869319204e-05,0.00321798914052138
"Lanius senator",4116512.5339208,2238715.10934865,4110578.785092,2158789.70147886,80145.3691632625,-79925.4078697897,-5933.74882880831,-177.559473446373,599,504,0.892247345900615,1,1,1,1,1,1,1,1,0.000999000999000999,0.115884115884116,0.115884115884116,0.000999000999000999,0.000999000999000999,0.108891108891109,0.108891108891109,0.000999000999000999,1,0,0.0622851476861692,1,0,0.0622851476861692,0.937714852313831,0.0622851476861692,0
"Linaria cannabina",4498050.71689268,2984018.87815978,4493354.74858338,3003262.19398291,19808.0115667968,19243.3158231215,-4695.96830930095,-11.8097454614525,1851,1849,0.983547714623984,1,0.613386613386613,0.613386613386613,1,1,0.595404595404595,0.595404595404595,1,0.002997002997003,0.427572427572428,0.427572427572428,0.002997002997003,0.001998001998002,0.391608391608392,0.391608391608392,0.001998001998002,0.996569780308157,0.00343021969184254,0,0.996569780308157,0.00343021969184254,0,0.996569780308157,0,0.00343021969184254
