species,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,nS_NA,nE_NA,nU_NA,nS_A,nE_A,nU_A,n_centroid_hist_X,n_centroid_hist_Y,n_centroid_rec_X,n_centroid_rec_Y,n_centroids_dist,niche_stability_std,niche_unfilling_std,niche_expansion_std,niche_abandonment_std,niche_pioneering_std
Remiz pendulinus,0.847932361,1,0.998001998,0.998001998,1,1,1,1,1,0.001998002,0.003996004,0.003996004,0.001998002,0.000999001,0.003996004,0.003996004,0.000999001,0.997243494,0.002756506,0.010265886,0.997243494,0.002756506,0.010265886,-0.519123309,0.995112696,-0.615523224,1.294889509,0.31489535,0.987033837,0.010237878,0.002728285,0,0
Saxicola rubetra,0.935736288,1,1,1,0.996003996,1,1,1,0.994005994,0.003996004,0.003996004,0.003996004,0.006993007,0.000999001,0.000999001,0.000999001,0.004995005,0.99934166,0.00065834,0.011566708,0.99934166,0.00065834,0.011559974,0.466443154,0.922889752,0.585204065,1.130543075,0.239215502,0.987790089,0.011552373,0.00065073,6.81E-06,1.08E-19
Serinus serinus,0.913864055,1,0.996003996,0.996003996,1,1,1,1,1,0.001998002,0.002997003,0.002997003,0.001998002,0.003996004,0.002997003,0.002997003,0.000999001,0.998653457,0.001346543,0.000448216,0.998668336,0.001331664,0.000440438,-0.082495039,0.140870902,-0.193357696,0.051105154,0.142647881,0.998206447,0.000439842,0.001331048,7.77E-06,1.49E-05
Sitta neumayer,0.871800435,0.999000999,1,1,1,0.994005994,0.999000999,0.999000999,1,0.004995005,0.000999001,0.000999001,0.000999001,0.001998002,0.000999001,0.000999001,0.000999001,0.994815875,0.005184125,0.016261775,0.994815875,0.005184125,0.016261775,1.243294873,-0.26823126,2.067356754,-0.075957704,0.846195666,0.978720912,0.016178836,0.005100252,0,0
Somateria mollissima,0.930785089,1,0.998001998,0.998001998,1,1,0.997002997,0.997002997,1,0.000999001,0.005994006,0.005994006,0.000999001,0.001998002,0.005994006,0.005994006,0.001998002,0.997819498,0.002180502,0.002001784,0.997819498,0.002180502,0.002001784,0.982024943,1.035362515,0.749594188,0.875246869,0.282242938,0.995826426,0.001997427,0.002176146,0,0
Spinus spinus,0.927601937,1,0.999000999,0.999000999,0.997002997,1,0.998001998,0.998001998,0.994005994,0.000999001,0.000999001,0.000999001,0.003996004,0.001998002,0.004995005,0.004995005,0.004995005,0.996550071,0.003449929,0.001025567,0.996550071,0.003449929,0.001025567,0.760972202,1.152770748,0.797691789,1.051835146,0.107407279,0.995531564,0.001022033,0.003446403,0,0
Streptopelia decaocto,0.863943458,0.995004995,0.98001998,0.98001998,0.999000999,0.998001998,0.987012987,0.987012987,1,0.002997003,0.011988012,0.011988012,0.000999001,0.003996004,0.014985015,0.014985015,0.002997003,0.996701468,0.003298532,0.003392081,0.996701468,0.003298532,0.003392081,-0.163434102,0.266072958,-0.018478876,0.071294744,0.242797384,0.99333169,0.00338093,0.00328738,0,0
Strix aluco,0.969476784,1,1,1,1,1,1,1,1,0.000999001,0.000999001,0.000999001,0.000999001,0.001998002,0.001998002,0.001998002,0.001998002,0.999918791,8.12E-05,0.000894549,0.999918791,8.12E-05,0.000894549,-0.169086287,0.316067909,-0.19002431,0.323065738,0.022076468,0.999024388,0.000894476,8.11E-05,0,0
Sturnus unicolor,0.975273245,1,1,1,1,1,1,1,1,0.001998002,0.001998002,0.001998002,0.001998002,0.001998002,0.001998002,0.001998002,0.000999001,0.999138101,0.000861899,0.000670767,0.999138101,0.000861899,4.13E-05,1.413446598,-0.959608764,1.413446598,-0.914317741,0.045291023,0.99846849,4.13E-05,0.000861321,0.000628913,1.08E-19
Sturnus vulgaris,0.961147748,1,1,1,1,1,1,1,1,0.001998002,0.002997003,0.002997003,0.001998002,0.001998002,0.004995005,0.004995005,0.001998002,0.998907764,0.001092236,0.000223953,0.998907764,0.001092236,0.000223953,0.236934124,0.761090444,0.213337221,0.685216547,0.079458555,0.998684299,0.000223709,0.001091992,0,0
